sample	preset	source	custom_shannon	custom_pielou_J	custom_clonality	custom_clones	vdj_shannon	vdj_norm_shannon	vdj_observed	vdj_inv_simpson	vdj_d50
S044	generic-amplicon	unfiltered	7.5043	0.8035	0.1965	11385	1957.238532027113	0.7191330372377058	37778	431.8027857953229	0.9843295039440944
S044	generic-amplicon	filtered	7.5043	0.8035	0.1965	11385	1932.4304257863428	0.7937680782887769	13800	430.7236715013029	0.9571739130434782
S044	rna-seq	unfiltered	7.5036	0.8036	0.1964	11361	1956.9695102700853	0.7180074689792149	38400	431.76194148608056	0.98453125
S044	rna-seq	filtered	7.5036	0.8036	0.1964	11361	1931.503770217961	0.7937600100864569	13793	430.6539893156675	0.9570071775538316
S045	generic-amplicon	unfiltered	8.6466	0.8317	0.1683	32747	6518.627454149032	0.7279379229706147	173649	1084.786444204666	0.9872616600153182
S045	generic-amplicon	filtered	8.6466	0.8317	0.1683	32747	6239.61422351797	0.8258626707847249	39390	1074.7570184058266	0.9443767453668444
S045	rna-seq	unfiltered	8.6458	0.8318	0.1682	32664	6518.838273813385	0.7275232555467762	174855	1084.1398757804277	0.98745246061022
S045	rna-seq	filtered	8.6458	0.8318	0.1682	32664	6237.096327675672	0.8259494711732807	39327	1074.0166173215105	0.9447707681745364
S046	generic-amplicon	unfiltered	9.6457	0.8994	0.1006	45473	19099.97182919964	0.7965120273877412	236987	11745.57117417231	0.9882187630545136
S046	generic-amplicon	filtered	9.6457	0.8994	0.1006	45473	17707.79554365405	0.897575594615704	54067	11524.172022677549	0.9483788632622489
S046	rna-seq	unfiltered	9.6446	0.8994	0.1006	45409	19108.83901296948	0.7961002450400507	238648	11744.746158223968	0.988292380409641
S046	rna-seq	filtered	9.6446	0.8994	0.1006	45409	17702.64755464844	0.8976327452397177	54012	11521.153984155651	0.948289269051322
S047	generic-amplicon	unfiltered	6.689	0.756	0.244	6956	866.1417579753912	0.6805695063896938	20719	161.16400212287922	0.9874511318113808
S047	generic-amplicon	filtered	6.689	0.756	0.244	6956	859.8043382622766	0.7457554720608055	8606	160.94795138934956	0.9699047176388568
S047	rna-seq	unfiltered	6.6887	0.7561	0.2439	6951	866.0994589544251	0.6797508031038231	20967	161.06159424651642	0.987599561215243
S047	rna-seq	filtered	6.6887	0.7561	0.2439	6951	859.6330253682578	0.745685675002961	8611	160.8412546317768	0.9698060620137036
S048	generic-amplicon	unfiltered	8.7995	0.8449	0.1551	33343	7603.94056593837	0.7487556278386484	152517	2026.060402386062	0.9835034783007796
S048	generic-amplicon	filtered	8.7995	0.8449	0.1551	33343	7290.293854159277	0.8393255614571913	40013	2007.369863075332	0.9378202084322595
S048	rna-seq	unfiltered	8.7982	0.8449	0.1551	33293	7606.161042409985	0.7479308218805829	154598	2024.358556937127	0.9839131165991798
S048	rna-seq	filtered	8.7982	0.8449	0.1551	33293	7286.52833904057	0.8392669114358259	40018	2005.3254637592988	0.9385276625518516
