.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0020082283027493004	7.94201005681448E-4	0.004289792986351467	5.99124926533012E-4	0.0011246914386469021	0.0010808594005093724	1.8901586886958818E-4	0.0	0.005415163586495141	0.001204832495265462	2.205185136811862E-4	5.254097825377138E-4	0.002267615751322409	2.1790635407823448E-4	0.0017553712531835715	0.007892170051590158	0.0034112192254946824	0.008940899888983233	0.0017067850845686686	0.0	0.0039002155031672477	8.18023901260368E-4	4.47985371906224E-4	4.017501469339784E-5	0.046409560504146914	0.004342297394370802	0.002754261085352319	0.0	0.0024289949715927683	0.0036090641938222472	0.003020596878469279	6.804675765689292E-4	0.004730098609025019	1.619538953830081E-6	0.0012746816430483914	7.338601188532629E-4	0.0023456670802586067	1.7297720890746446E-4	5.172076013844452E-5	0.005036400444067139	0.0028164304839025708	0.0	0.008982537713054274	0.0018396917651668531	2.7537386534317275E-4	0.0	0.0	0.0010122640893358592	0.0016275844054071723	5.224319205903487E-7	2.0374844903023598E-5	0.0042447593547965835	8.444067132501809E-4	0.0014006922222947835	0.004133063410174365	0.003566538235486193
TRBJ1-2	7.319271207470787E-5	0.0	6.903415398680868E-4	0.0	3.283484620910341E-4	2.560961274733889E-4	0.0	0.0	9.069940573369046E-4	1.938744857310784E-4	3.9929471690720354E-4	1.490498269444265E-4	1.4722131522236026E-4	0.0	0.0023251877489714654	1.6545418925096347E-4	4.0002612159602995E-4	5.206556520603418E-4	0.003425168157774444	2.403186834715604E-6	9.659766211715548E-5	0.0	0.0	6.0079670867890105E-6	3.4762619996081805E-4	2.250114281982632E-4	9.048520864624839E-5	3.6570234441324406E-7	6.739894207536089E-4	8.514073009860914E-4	7.314046888264881E-7	0.0	3.500293867955337E-5	0.0	0.0	9.64827270946256E-4	3.134591523542092E-7	0.0	0.0	0.0010449160843727563	4.568667145562598E-4	0.0	0.0010194214066479473	4.17945536472279E-7	0.0	0.0	0.0	0.0	1.4105661855939415E-5	2.089727682361395E-7	0.0	1.0448638411806975E-7	0.0	0.0	7.76333833997258E-5	2.760007836478812E-4
TRBJ1-3	0.0	0.0	7.443610004571288E-4	1.5719976490563594E-4	2.8195650754261117E-4	7.769607523019667E-4	0.0	0.0	0.003293619800169795	9.915235420884228E-4	3.7625546920916906E-4	0.0012162215111343319	0.0	0.0	0.0031306732841376657	8.752824397570702E-4	0.001578162345719325	0.006023849017174961	1.1232286292692497E-5	3.956899366551301E-4	1.4366877816234589E-5	0.0	0.0	1.8285117220662207E-6	0.0023118134918043523	4.991314569320192E-4	0.0	2.2166786390648494E-4	0.0016475935479657827	0.0010673806569581415	0.0	5.651146085025802E-4	0.0038303141121922603	4.649644093254104E-6	5.898778815385628E-4	0.0012136615947234391	2.087115522758443E-4	0.0	0.0	8.680728792529234E-4	0.0010512375106118993	2.484686214327699E-4	0.0027078691308038963	0.003128531313263244	0.0	0.0	0.0	7.357408737673879E-4	9.264807679749244E-4	0.0	0.0	8.187553059491944E-4	3.4830536145758547E-4	0.0012354470058120563	0.0018176451381179408	0.0016569973225364085
TRBJ1-4	0.0012184157252008113	4.093776529745972E-4	4.178932932802199E-4	0.0	0.0018880167178214609	0.002059322144583037	0.0	6.383073205772881E-4	0.004023352706850395	1.0448638411806975E-7	0.0014254554953307666	9.955462678769686E-4	0.0010241755371253197	0.0	0.0033208385032325533	0.005069888330176974	0.00218214588911383	0.0058646117677790205	0.0020430222686606187	7.058055247175612E-4	0.0016433618494089998	2.3357931169594494E-4	0.0	9.142558610331103E-6	0.0031900215503167313	0.01030037223274343	0.0013179390060732718	5.025272644158566E-4	4.7713707307516537E-4	0.0035036374322471153	6.138052635016007E-4	0.0015978057859335224	0.007166564357082224	1.4262391432116517E-5	0.0013632338535884555	9.887546529092936E-4	0.0	0.0	6.111408607065899E-4	0.011852569712009408	0.0019372298047410713	0.0014397178867628822	0.0025627897864559574	0.0025056357343433717	0.0	0.0	0.0	0.0036655913276301267	7.978580291255805E-4	0.0	0.0	0.0	5.045125057140998E-4	0.0017612224906941832	0.002210513942401883	0.0037959380918174165
TRBJ1-5	3.567165153790901E-4	6.269183047084184E-7	1.2501795859727046E-4	0.0	0.0	4.137660811075561E-5	0.0	0.0	7.456148370665458E-4	5.798994318552871E-6	0.0	1.0448638411806975E-7	1.5197544569973243E-4	0.0	0.00185233461764514	0.0014789002808071586	3.568210017632081E-5	0.0012131391628028485	2.612159602951744E-7	0.0	1.2036831450401633E-4	0.0	0.0	4.7018872853131385E-7	4.184157252008102E-4	0.0	9.405341866388048E-4	1.6174492261477195E-4	3.8450989355449667E-4	3.4605890419904696E-4	5.224319205903487E-7	1.607523019656503E-4	4.74942859008686E-4	0.0	1.5855808789917082E-4	0.0	2.0709201332201423E-4	0.0	0.0	0.001409991510481292	0.0022179324756742666	0.0016254424345327515	0.0016023509436426586	2.2642199438385714E-4	1.0448638411806975E-7	0.0	0.0	5.134983347482538E-4	3.4193169202638326E-4	0.0	2.7688891791288482E-6	1.2287598772285003E-4	0.0	1.0448638411806975E-7	1.4993796120943008E-4	2.089727682361395E-7
TRBJ1-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010257428328870905	0.0	0.0	0.0	0.0	0.0	2.089727682361395E-7	1.9800169790374215E-5	0.0	2.612159602951744E-7	0.0	0.0	0.0	2.147195193626333E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.760269052439113E-4	0.0	3.5112649382877334E-4	3.7108339319532463E-4	0.0	1.567295761771046E-7	1.0448638411806975E-7	0.0	0.0	0.0	8.266962711421678E-4	3.8215894991184006E-4	8.003657023444143E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5646836021680942E-4	9.769476915039521E-6
TRBJ2-1	9.988898321687466E-5	9.194801802390138E-6	3.421406647946192E-4	1.990988049369819E-4	0.0010611637171031162	7.958205446352781E-4	0.0	0.0	0.0017486318814079558	0.0	1.7919414876248964E-4	5.16841899040032E-4	2.2083197283354037E-4	1.2365963560373553E-4	0.0011056226735453544	0.0017739698295565884	4.0681773656370447E-4	0.008098217201070986	0.0010878599882452834	4.7112910598837653E-4	5.186704107620981E-4	1.5291582315679508E-4	8.881342650035928E-7	1.4105661855939427E-4	0.004554300267746375	5.489714621563387E-4	8.610200483249536E-4	1.1456932018546346E-4	0.0010169137334291134	0.0015665643570822196	5.447920067916158E-4	5.527329719845889E-4	0.004304264350551828	1.2501795859727044E-4	5.661072291517019E-4	7.871481747534782E-4	9.855678181936926E-4	0.0	2.2370534839678734E-4	8.113367726768115E-4	0.0021045647489061612	6.075883236465755E-4	0.0013096845817279449	3.717625546920921E-4	0.0	3.239077907660162E-6	2.7981453666819076E-4	0.0014849082478939474	5.37686932671587E-4	0.0	0.0	1.220923398419645E-4	2.186377587670609E-4	2.0615163586495158E-4	6.595180565532562E-4	5.866910468229616E-4
TRBJ2-2	5.224319205903487E-7	0.004332684647031938	4.900933847058065E-4	0.0	9.90530921439301E-5	6.155815320316078E-4	0.0	0.0	0.0011473649840005235	6.269183047084184E-7	0.0	1.5850584470711185E-4	1.3327238294259794E-4	0.0	6.948344543851639E-6	0.0013732645464637901	0.0021627636648599256	0.0019357669953634178	0.0011226539541565996	6.68190426435056E-5	2.4857310781688794E-4	1.3792202703585206E-4	0.0	4.35708221772351E-5	0.001316006007967088	6.030954091294984E-4	5.746751126493836E-7	1.6519297329066826E-4	1.461764513811796E-4	2.901586886958797E-4	2.5599164108927086E-6	4.283941748840859E-6	0.0010282505061059235	8.097694769150404E-5	4.5932214458303464E-4	1.5761771044210822E-4	0.001537882844641809	0.0	3.7359106641415824E-4	8.645725853849683E-4	0.0018358257689544842	5.442695748710254E-4	0.0012698230261869016	2.0113628942728422E-5	0.0	0.0	0.0	8.47750277541959E-4	4.437536733494423E-4	0.0	0.0	4.260432312414293E-4	7.684973551884029E-5	3.134591523542092E-7	8.07888722000915E-4	0.0016287859988245292
TRBJ2-2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0448638411806975E-7	0.0	5.224319205903487E-7	0.0	0.0	2.089727682361395E-7	0.0	0.0	0.0	1.2538366094168369E-6	1.0448638411806975E-7	0.0	0.0	0.0	0.0	1.0448638411806975E-7	0.0	0.0	0.0	0.0	1.0448638411806975E-7	2.089727682361395E-7	0.0	0.0	0.0	2.089727682361395E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.134591523542092E-7	0.0	0.0	0.0	2.089727682361395E-7
TRBJ2-3	0.0023023574740416667	1.712009403774573E-4	0.002728348462091037	2.2266048455560662E-4	0.002029804741069682	0.001945327499510222	3.614184026644032E-4	3.8236792268007627E-4	0.007718879383530344	0.002132514856657745	3.6622477633383436E-4	0.002149128191732518	0.0016091425586103319	0.0	0.004943721021354412	0.004936929406386736	0.004717925945275264	0.017076053026839948	0.013649735518840217	6.223209038072236E-4	0.0021826683210344174	1.0903154182720576E-4	0.0	8.604453732123042E-5	0.006926506889570969	0.0018505061059230729	0.004067654933716455	0.0016836413504865166	0.002828237445307911	0.0035375955070854875	0.0018399007379350896	0.0026933977666035425	0.008799634297655599	3.427153399072688E-4	0.0015247175602429324	0.0010999281656109204	0.001492640240318685	0.0	2.6675373865343204E-4	0.02092428655390846	0.005277816234571939	0.0056738196303794215	0.019773212303271743	0.0025702083197283393	0.0	4.1731861816757054E-4	1.0448638411806975E-7	0.006548109449487376	0.0028338797100502873	2.3869914451773032E-4	0.0	0.0030947822111931094	5.069679357408744E-4	0.0017398550251420382	0.004014053418663885	0.008614797884150724
