.	TRBV1	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0	0.0025980791252763424	0.002492083904526988	0.0036514781444409125	3.97976167406305E-4	0.0027953335612734224	0.005009895141012112	2.7582335003634395E-4	4.812606032060908E-5	0.013943520462226964	6.537238770063136E-4	0.001110436028694399	0.001232519500156118	0.0013610174681303088	0.0	0.001727579939102556	0.011585655563104221	0.003568193708641129	0.015942069537788664	0.0024912170806739536	0.0018421740524740351	0.0029387062265657272	0.0018366957257228429	1.1532224540803019E-4	1.3057834522147937E-4	0.033684497545381484	0.004502768514031402	0.0015521001182937642	1.8227571981660083E-4	0.0010487181703581715	0.002027119589757991	6.719965238283314E-4	3.5820628902897157E-4	0.009285243748960769	2.295002833300516E-4	0.003406028302214984	8.957410967742184E-4	0.0026026559552203747	0.0	4.4589419000218533E-4	0.005151880888139556	0.005196366288277426	2.4631666607896776E-4	0.010279386689531727	0.0024854960432439087	9.96153971910014E-5	0.0	1.1546093722451608E-4	0.0	0.003317681615113461	0.003333735192871707	1.9735845485944304E-4	0.0	0.002006662546826322	9.061776559647827E-4	0.0019255971800903077	0.004923074063891938	0.005400035220786972
TRBJ1-2	0.0	1.444821998241917E-4	2.7027567737690776E-4	3.992243937546782E-4	1.87233952255972E-6	1.1504486177505842E-4	2.442709617858005E-4	2.5723864662723274E-4	3.8140249533623927E-7	0.0016246359383158926	3.573047922218134E-4	2.29604302192416E-4	2.41323760685475E-4	1.6653419864545065E-4	1.6102119894013592E-4	9.19457397393307E-4	5.185340288866769E-4	5.893708741568541E-4	0.0010981618029353957	3.68712194127779E-4	6.93459082429526E-8	0.0010659506285565455	6.40756192164882E-5	6.93459082429526E-8	2.1150502014100545E-6	0.001038246938213485	4.624331891181298E-4	5.377775184240969E-4	6.93459082429526E-8	0.0018899880562075505	6.642297821051211E-4	9.791642243904912E-5	8.595425326713976E-5	0.0017019912989609065	1.0519774280455909E-4	6.39473292862387E-4	5.424583672304962E-4	9.063510207353897E-4	6.93459082429526E-8	2.0190061184935645E-4	4.6392412614535333E-4	9.280216170613123E-4	5.679083155556597E-4	0.002168550569619494	7.240059550105462E-4	2.427106788503341E-7	0.0	1.733647706073815E-7	0.0	1.0103698830998203E-4	1.7572253148764178E-4	1.733647706073815E-7	1.2239552804881133E-5	1.1788804401301939E-6	0.0	5.842392769468753E-4	5.122928971448116E-4	7.384299039250791E-4
TRBJ1-3	0.0	6.873913154582676E-4	6.93459082429526E-8	8.823573364833286E-4	6.93459082429526E-8	0.001329603771696251	0.0012217015384702172	2.96939179096323E-4	7.061840565921074E-4	0.004313523530436392	4.3060341723461426E-4	0.0011969450492274835	0.0031834972826633476	9.287497490978635E-4	1.7409290264393249E-4	0.0036931203623408095	0.0033979495039046835	0.0011959395335579606	0.0045780088244750106	0.0014655910977606813	9.402958428203156E-4	5.979697667789801E-4	2.2603298791790396E-4	6.93459082429526E-8	3.7793519992409163E-6	0.0024149019086525812	4.5757897554112275E-4	0.003932537110549605	0.0012110569415549237	0.003654876093944822	0.0030262554357224545	7.59857789572153E-4	8.198420002023067E-4	0.004073239958374562	5.462377192297375E-4	3.962771926543528E-4	0.0018956744206834726	0.0012307165065418004	0.0	1.2575880459859452E-4	0.0027675605250221226	4.1728900285196746E-4	9.549971753678206E-4	0.005632656069987956	0.0010582879056956994	6.93459082429526E-8	0.0	7.853424108514381E-5	0.0	0.001378041888603954	4.421495109570658E-4	6.93459082429526E-8	0.0	0.0011525983409061144	4.706853521990409E-4	4.069911354778889E-4	0.002383626904035012	0.0047247100933629806
TRBJ1-4	0.0	3.7741510561226967E-4	7.645039654244304E-4	0.0010392524538830087	6.93459082429526E-8	9.681382249798609E-4	0.001209531331573578	4.06713751844917E-5	1.0790223322603424E-4	0.0032432041096605345	6.792778441938418E-4	3.824080110057623E-4	8.79271443566517E-4	0.001307239716287899	0.0	0.0012638985236360534	0.0027645093050594326	0.0014535942556346505	0.002422287247880459	0.0012170900355720597	4.345908069585839E-4	4.151392796964358E-4	4.6534571726433347E-4	8.321508989154311E-7	1.0991326456507987E-5	0.0038443984611728106	8.314227668788799E-4	0.0012767968625692436	8.26603226255995E-5	0.0014029717426172943	0.0012607432848109996	5.21897305436461E-4	3.904174634078233E-4	0.024553583115215008	2.0120715276692692E-4	3.7807389174057763E-4	5.895789118815828E-4	0.0015201316545937634	6.043495903373318E-5	4.853520117924252E-4	0.0030029898835069453	0.001862769787222192	7.979633661516551E-4	0.002535945191490661	0.0014333452504277082	1.386918164859052E-7	1.254814209656227E-4	6.93459082429526E-8	0.0	9.774999225926593E-4	8.096134787364714E-4	0.0	0.0	4.3400136673851883E-4	6.435300284946002E-5	8.766362990532846E-4	0.0015163523025945222	0.0030004240849019538
TRBJ1-5	0.0	7.454685136117405E-6	2.1934110777245905E-4	3.1417163729469664E-4	0.0	6.191549417472022E-4	3.698564016137878E-4	0.0	5.667641080696516E-4	0.0015003333977904008	2.427106788503341E-7	4.1607544945771555E-7	5.160375761899316E-4	4.376766998753954E-4	0.0	0.00142585589233747	0.0022474315402458513	9.139443976879934E-4	0.0021662621546474784	3.7491865291552315E-4	9.063510207353904E-5	1.8654049317354246E-4	6.050430494197614E-5	3.1205658709328666E-7	2.6698174673536746E-6	0.0011204218394813851	9.673754199891888E-5	7.447750545293102E-4	0.0014090395095885532	5.501904359995856E-4	5.60176246786571E-4	4.639934720535958E-4	0.0	8.705685320820266E-4	1.1310317634425569E-4	8.463668101052366E-5	0.001142508511256765	4.025529973503399E-4	0.0	3.360849442994698E-4	0.0010388710513876726	0.0016286580009939847	0.002279573368716459	0.0023921217777947727	7.94218687106536E-4	2.031835111518511E-5	0.0	2.293269185594442E-4	0.0	9.573202632939607E-5	2.1639390667213358E-4	6.93459082429526E-8	0.0	5.7071682483949986E-5	1.1390065428904965E-4	3.6853882935717155E-4	4.5022830926736996E-4	8.267765910266021E-4
TRBJ1-6	0.0	0.0	0.0	0.0	8.106536673601159E-5	9.944203242039402E-5	6.93459082429526E-8	0.0	0.0	6.93459082429526E-8	2.527658355455622E-4	0.0	0.0	0.0	0.0	5.056356899534887E-4	2.649013694880789E-4	2.87542808529403E-4	9.501082888366931E-4	9.732698221898397E-5	0.0	5.020643756789768E-5	0.0	0.0	0.0	1.2222216327820393E-4	6.64333800967486E-5	7.628049906724785E-7	0.0	2.7814643796248296E-4	1.7457832400163316E-4	3.640660182755011E-6	0.0	3.972827083238756E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.93459082429526E-8	8.668238530369075E-7	3.3202820866725703E-4	6.996655412172702E-4	2.321007548891623E-4	6.93459082429526E-8	0.0	0.0	0.0	1.9652630396052763E-4	9.389435976095782E-5	0.0	0.0	2.4669806857430384E-4	0.0	0.0	2.0484781294968196E-4	6.291407525341872E-4
TRBJ2-1	0.0	3.1368621593699607E-4	1.386918164859052E-7	2.730841866607474E-4	2.595964075074932E-4	0.0021397720176986675	5.225214186106473E-4	9.441445407277997E-5	4.320250083535947E-5	0.0015176005289428956	3.5179179251649856E-4	4.356656685363497E-4	4.1545133628352913E-4	5.194701986479573E-4	3.46729541214763E-7	0.0010350223534801885	9.401571510038293E-4	8.591611301760613E-4	0.002993766877710631	0.0010712555905371315	1.2347038962657708E-4	9.407465912238942E-4	4.8770977267268556E-4	1.2828993024946228E-6	3.3539148521704096E-4	0.00683123074805916	8.258057483112E-4	0.001275860692807963	2.5595574732473794E-4	0.0010777394329578472	9.563147476244371E-4	5.574717563650956E-4	0.001097849746348304	0.001906249671690523	8.6335655762476E-6	7.389499982369021E-4	0.0010636968865386496	6.041415526126026E-4	0.0	1.0013549150282355E-4	0.0022434094775677614	0.006959486005354491	0.0014678448397785772	0.0023507916164819728	2.6663501719415266E-4	9.791642243904909E-5	6.93459082429526E-8	1.386918164859052E-7	3.46729541214763E-7	5.937396663761593E-4	7.087498551970967E-4	0.0	0.0	2.454498422259308E-4	1.013837178511967E-4	2.2433401316595162E-4	5.916592891288711E-4	8.810397642267124E-4
TRBJ2-2	0.0	9.002485808100103E-4	8.172415286431964E-5	0.0011654966798393044	3.467295412147629E-5	6.865938375134733E-4	0.001443885828480637	1.0991326456507986E-4	1.7426626741453985E-4	0.0013434729533448402	2.980487136282103E-4	5.770273024896085E-4	2.651440801669294E-4	3.6364994282604365E-4	4.472811081670443E-5	4.2758687022604583E-4	0.0021231636726744816	0.001133562889093424	0.002966271225092297	0.0016685318982336812	1.4479425641128504E-4	0.0016486296225679533	7.086111633806107E-4	7.974779447939547E-7	1.5020323725423515E-4	0.00579811540705564	7.51432261720634E-4	8.345086597956913E-4	4.6392412614535284E-5	5.365639650298454E-4	1.683025193056459E-4	6.241131741865733E-7	6.684945554620633E-5	0.0016362167049924655	4.211723737135727E-4	0.0014327904831617636	3.4555066077463284E-4	1.0010081854870207E-4	0.0	3.8421100462007887E-4	6.009516408334264E-4	0.002910066366461389	0.003771793295242437	0.0013074130810585064	2.7606606071519437E-4	0.0	0.0	0.0	0.0	0.0017967178096207792	0.001308487942636273	6.206458787744258E-6	0.0	2.770022304764741E-4	2.8008812339328567E-4	7.030634907211742E-4	8.766709720074062E-4	0.0022658775518384824
TRBJ2-2P	0.0	0.0	6.93459082429526E-8	1.0401886236442889E-7	6.93459082429526E-8	2.773836329718104E-7	0.0	0.0	1.1095345318872415E-6	6.93459082429526E-8	0.0	0.0	0.0	3.814024953362393E-7	0.0	0.0	6.934590824295259E-7	0.0	2.9267440573938153E-4	6.93459082429526E-8	0.0	2.773836329718104E-7	0.0	0.0	1.386918164859052E-7	6.241131741865733E-7	1.386918164859052E-7	1.386918164859052E-7	0.0	5.89440220065097E-7	0.0	1.0401886236442889E-7	0.0	5.89440220065097E-7	0.0	6.93459082429526E-8	0.0	0.0	0.0	0.0	4.854213577006682E-7	3.46729541214763E-7	0.0	3.46729541214763E-7	6.93459082429526E-8	0.0	0.0	0.0	0.0	3.46729541214763E-7	2.0803772472885777E-7	0.0	0.0	6.93459082429526E-8	0.0	0.0	0.0	3.1205658709328666E-7
TRBJ2-3	0.0	0.0019121094009370526	0.0011672303275453782	0.002182697134901056	3.8428035052832184E-4	0.002884304361549129	0.002831844181963335	1.5627100422549372E-4	3.8889185342647845E-4	0.0055945158204543325	0.0011121350034463521	0.0010252099074638111	0.003208288444860206	0.002873000978505529	1.3127180430390925E-4	0.0023388294473100646	0.005243278795203775	0.0036209659448140177	0.009250744159609896	0.00403457961452911	6.151675520232323E-4	0.0028164147173792794	0.0011718418304435343	0.0	1.0651531506117532E-4	0.010614015369758088	0.0034041212897383015	0.0036792511806922204	4.4738512702940876E-4	0.001756497182839868	0.0017526831578865048	0.0014319930052169704	0.0010943131050279126	0.006906505731456862	3.3428195068515307E-4	0.0025873305094986873	0.0012321727706149027	0.0014773105562537402	0.0	4.452007309197558E-4	0.008763242424661925	0.011268155322213856	0.020308399977351937	0.004082358945308502	0.0025637875736502012	1.6282419255445271E-4	1.2100860988395228E-5	0.0	0.0	0.005207600325412773	0.00376267430830849	2.3022841536660262E-4	6.646805305087007E-5	9.466409934245454E-4	9.265306800340893E-4	0.001085436828772815	0.0034896941405101064	0.011401403484902674
TRBJ2-4	0.0	3.8781699184871235E-4	2.0803772472885777E-7	1.0901176775792152E-4	1.8099282051410626E-5	1.1663981766464628E-4	5.746695416093478E-4	2.823418654111815E-4	4.1607544945771555E-7	6.780296178454689E-4	1.979825680336296E-5	2.7738363297181044E-6	2.321007548891623E-4	1.3574461538557969E-4	0.0	3.6635443324751864E-4	8.133581577815903E-4	7.0812574202291E-4	0.0013600466254149064	7.48727771299159E-4	8.42552785151874E-5	2.1531904509436776E-5	2.9818740544469614E-6	0.0	1.674703684067305E-5	0.00203062155812426	4.0914085863342033E-4	4.039052425610776E-4	4.708240440155268E-4	4.515112085698645E-4	5.936356475137953E-4	3.241227751275605E-4	3.648634962202951E-4	0.00150338461775309	2.4076899341953138E-4	2.3868861617224287E-4	5.49913052366614E-5	3.38858780629188E-4	0.0	4.7536620100544E-5	5.153787900616237E-4	4.32198373124202E-4	8.415125965282288E-4	6.45229003246552E-4	6.396813305871162E-4	2.416704902266898E-4	0.0	0.0	0.0	5.008161493306034E-4	2.324128114762556E-4	2.631330488278836E-4	2.097713724349316E-5	0.0	6.93459082429526E-8	5.859729246529493E-6	4.400691337097771E-4	1.5117407996963664E-4
TRBJ2-5	0.0	8.105843214518722E-4	4.5327952923005974E-4	8.523305582141301E-4	1.657713936547782E-4	0.0011776668867359418	0.0011366834549643575	2.5345929462799175E-5	0.003551550690662819	0.002223299164177305	4.787294775552234E-4	4.914544517178048E-4	2.36157490521375E-4	8.532320550212883E-4	0.0	2.639998726809206E-4	0.0020348169855729584	0.001251624297877051	0.0032220189346923115	6.433566637239924E-4	3.983228969475197E-4	0.0013036337290592659	5.531723100540328E-4	6.241131741865733E-7	3.09976209845998E-5	0.006988125865458828	0.0012490931722261831	8.910255750136975E-4	3.4163261695890586E-4	4.302566876933993E-4	6.567057510607606E-4	3.198580017706189E-4	2.76690173889381E-4	0.0017903379860624287	1.63864381178097E-4	6.221021428475273E-4	4.704426415201905E-4	7.759807132386393E-4	0.0	8.70291148449055E-5	0.0013099095337552522	0.0025937450060111557	8.803463051442834E-5	0.0012991955909317165	9.716055203920085E-4	2.9090608507918615E-5	1.9936948619848872E-5	0.0	0.0	0.0013487779153254272	0.0013916336866195724	8.560752372592498E-5	8.668238530369074E-6	6.50984713630717E-4	5.264741353804955E-4	5.404473358914506E-4	0.0011444155237334461	0.007163709705129983
