.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0013904405902418402	0.0014595548352523576	0.004782371162316239	3.8451987295942E-4	0.003919750101292389	8.086680346616327E-4	5.5887388741484704E-5	6.205643632941288E-4	0.007255322764046559	6.871168851537263E-4	0.0019004326175320024	0.0015494242657917519	0.0037261047431086033	3.2549568035966674E-4	0.001249650377069887	0.013417469383486508	0.005942831749682694	0.013569604370612545	0.002474938244173884	9.17671968736465E-4	0.0027493563017080796	0.0026404569277618524	2.3003228293969386E-6	4.7611454562086227E-4	0.032680738717306736	0.006286416332291705	0.002648612617793353	4.190247154003741E-4	0.0028352001672960277	0.0021605782175110736	0.001065885951039655	0.0010529727751564483	0.010613637254773165	3.4766242762476464E-4	0.0036292297839524068	0.0010422553619740306	0.003842166485864537	2.8858595496070678E-5	0.001003097593809979	0.007244134830285403	0.007021264916155417	3.8776123694629747E-4	0.00966919789311281	0.00397736273215592	1.6776672635306303E-4	1.6745304596723623E-4	3.345924115486456E-5	0.0	0.004117891545006352	0.002664139796891783	1.7006704918245998E-4	1.986642443570083E-6	8.96446262628848E-4	3.07615898367536E-4	0.002031603298871933	0.004844427598645651	0.005790801322685275
TRBJ1-2	5.918103279266669E-5	1.3739200899216255E-4	5.653043353242981E-4	9.410411574805656E-6	7.546104481708048E-4	6.399079870867842E-5	0.0	0.0	0.0013320960384780457	1.8104586268639992E-4	1.5014834468245466E-4	5.25519206388592E-4	6.005933787298188E-4	2.1502790448430924E-4	0.001199827475787721	7.204715661799827E-4	6.043052632954369E-4	0.0029447269020138975	7.26954294153737E-4	2.3275084628352657E-4	2.1889662924284045E-4	4.877729999607599E-5	3.6596045013133105E-7	4.328789324410602E-5	0.0012636614343034857	7.031145848308966E-4	0.0011992523950803719	2.471801440315619E-4	0.002006456587941474	4.7125249964054554E-4	2.338487276339205E-4	1.2123746912207954E-4	0.0012080877259478286	1.0456012860895172E-7	0.0012559762648507284	5.371253806641852E-4	8.441661983243723E-4	2.614003215223793E-7	1.521349871260248E-4	0.0018007345349033666	0.0018401014233246375	6.17741239821687E-4	0.0020446210348837412	0.0010673497928401796	2.614003215223793E-7	0.0	0.0	0.0	3.9884461057884647E-4	2.2292219419428505E-4	2.544470729698841E-4	2.7081073309718502E-5	6.435675915880978E-5	2.0634941380976625E-4	1.7864097972839402E-4	7.835736037954845E-4	0.001320803544588278
TRBJ1-3	5.782697912718077E-4	6.056122649030484E-4	0.001159833226594797	9.969808262863547E-5	0.0022839591692696342	9.178288089293786E-4	1.4387473696591754E-4	3.3474925174155893E-4	0.003749735332174223	6.434630314594894E-4	0.0019973075766881922	7.776659565290787E-4	0.001438851929787785	0.0	0.003594097580739794	0.0033123080341386727	0.0018971912535451253	0.004590294206061593	0.0016834703506684277	0.0011606174275593645	8.043810693886659E-4	2.1408686332682867E-4	0.0	4.757485851707302E-6	0.004503822979701987	9.704748336839857E-4	0.004993634902170637	8.065245520251496E-4	0.004112715818640211	0.0031062723007147363	6.658388989818049E-4	3.0568153598827045E-4	0.004790317732090523	2.376651723281473E-4	5.512409980263937E-4	0.0010695978356052719	0.0018362849786304103	0.0	4.5133379514054027E-4	0.0048137914809632245	0.0020679379435635382	0.002086392806263018	0.004161127158186154	0.002149494843878524	1.871626302100236E-4	0.0	1.68969167832066E-4	0.0	0.0024424200441764987	0.0012165048163008494	1.903517141325966E-4	0.0	4.072617009318671E-4	2.3735149194232041E-4	9.428709597312224E-4	0.0020701859863286307	0.005443713975767864
TRBJ1-4	6.412149886943972E-4	9.666583889897585E-5	8.393041523440559E-4	0.0	0.0010062866777325527	3.3814745592134995E-4	0.0	2.0791781573890048E-4	0.0030430134229063165	1.7194913149742107E-4	7.970095803217351E-4	5.023068578374042E-4	0.0016253871992261556	1.2531531413782865E-4	0.0019910862490359585	0.002212440041301115	0.0016297264445634268	0.0030764726640611834	0.0012198507404163352	3.534132346982569E-4	5.847002391812583E-4	0.0010017905922023662	7.319209002626621E-7	6.26315170367621E-5	0.0058399445831314786	0.001117172694122345	9.126008024989313E-4	4.660244932100979E-4	0.0021658062239415183	9.762779208217828E-4	0.0012514801793205444	5.609128099227218E-4	0.0041600292768357566	7.413313118374678E-5	9.247297774175698E-4	0.001052397694449099	8.573407745291E-4	0.0	3.670583314817251E-4	0.0034363686267331944	0.0012927814301210794	5.747147468991035E-4	0.005362941276417443	0.0015294010011631378	0.0	0.0	0.0	0.0	0.0011310269111630305	6.257923697245764E-4	3.1211198389772106E-4	4.250369227953888E-5	2.565905556063675E-4	2.846126700735667E-4	1.9291343728351594E-4	0.002258080537438917	0.0024461319287421195
TRBJ1-5	4.114441060762251E-5	1.1857118584255125E-4	3.124779443478523E-4	1.079060527244382E-4	1.6489132281631688E-4	5.019408973872729E-4	4.914326044620731E-5	7.853511259818365E-4	0.0012730195658139875	0.0	3.350106520630814E-4	4.460012285814836E-4	1.9976212570740228E-4	1.934362379265607E-6	7.386127484936353E-4	0.0015769758596802103	0.0010383343571511953	0.0033951719360612686	9.904458182482955E-4	1.2845211799609717E-4	3.5712511926387473E-4	1.699102089895466E-5	0.0	3.382520160499589E-5	0.0014298597587274159	2.304505234541296E-4	0.0011558076616433525	3.0494961508800776E-4	0.0019575747278167913	0.001349034779312696	2.0875429676777215E-4	2.4906222634652305E-4	0.0012127406516709272	5.301198520473853E-5	1.5260550770476505E-4	7.590019735723808E-4	4.2613480414578294E-4	0.0	1.6719164564571378E-4	0.003180509992027092	0.0025383016821109096	6.587288102363962E-4	0.0017820705519466689	0.0015566389146657689	2.7896642312868325E-4	9.159467266144172E-5	0.0	0.0	6.235443269594836E-4	2.7175177425466573E-4	0.0	1.5161218648298002E-6	1.531805884121143E-4	1.5982015657878273E-4	3.367881742494336E-4	4.63515050123483E-4	7.266928938322148E-4
TRBJ1-6	1.893583929108116E-4	0.0	1.568401929134276E-7	0.0	2.5638143534914966E-4	1.2547215433074209E-5	0.0	0.0	9.89661617283728E-5	1.284521179960972E-4	0.0	0.0	0.0	0.0	7.319209002626622E-6	2.0718589483863784E-4	3.3569029289903964E-4	0.001295918233979348	5.3900746297914616E-5	0.0	0.0	0.0	2.6140032152237935E-7	7.998849838584808E-6	3.8734299643186176E-4	0.0	2.3672413117066673E-4	0.0	3.31455607690377E-4	1.3838533021394764E-4	2.500555475683081E-4	6.221327652232629E-5	7.706081478479742E-5	0.0	1.3462116558402533E-4	1.265177556168316E-4	1.8794683117459075E-4	0.0	1.0456012860895172E-7	5.824521964161656E-4	1.4988694436093232E-4	1.8972435336094286E-4	5.4162146619437E-4	3.469305067245019E-4	0.0	0.0	0.0	0.0	1.826665446798387E-4	5.8030871377968206E-5	0.0	0.0	5.233234436878034E-5	1.0456012860895172E-7	9.37904353622297E-5	1.8266654467983867E-4	2.400177752218487E-4
TRBJ2-1	2.4383421991607532E-4	1.50618865261195E-4	6.394897465723494E-4	1.0110964436485635E-4	7.832076433453535E-4	3.9581236684918666E-4	2.0493785207354542E-5	2.5993647972185404E-4	0.0022336134673444238	3.4363686267331985E-4	6.9522029512092E-4	5.690684999542201E-4	7.709741082981062E-4	1.0456012860895172E-7	8.801871626301565E-4	0.0016611990432747218	0.001143626406660409	0.0038154513730049495	8.492896446262107E-4	3.320829684620306E-4	8.538902902850052E-4	6.935996131274823E-4	3.2099959482948183E-5	6.339480597560804E-4	0.0080374848061058	0.0010003267504018415	0.0015818379056605264	1.9103135496855483E-4	0.0012841552195108409	8.684241481616494E-4	4.1546967102766964E-4	5.735123054201008E-4	0.0032183084785192225	1.084811334317874E-4	0.0010142332475068319	5.831841173164283E-4	7.5863601312225E-4	0.0	3.9157768164052424E-4	0.002132712943236785	0.0039025499601361992	0.0020956463776449137	0.0014599207957024891	8.938845394779289E-4	1.5569003149872913E-4	1.0403732796590696E-4	9.175151285435514E-5	1.3070016076118968E-6	0.0011640156317391554	0.0010391708381800669	8.819646848165078E-5	2.5721791637802125E-5	3.741161401628293E-4	7.721765497771085E-5	4.134830285840996E-4	0.001205996523375649	0.0016098077400634205
TRBJ2-2	8.004600645658302E-4	3.252865601024489E-4	6.937041732560907E-4	1.9014259387537872E-4	9.933212217850419E-4	8.551450118283124E-4	2.4048829580058897E-6	1.3838533021394764E-4	0.001349191619505609	1.5997699677169612E-4	1.1883258616407366E-4	5.56521284521146E-4	6.196233221366481E-4	7.131000771130506E-5	0.0010762896838362444	0.0028849185084495795	0.001691050959992577	0.0027889323103865637	0.0016321836075857367	3.2915528486098016E-4	0.001659735201474195	6.471749160251076E-4	4.109213054331804E-5	2.0201016847249466E-4	0.007566807387172619	0.0014328920024570748	8.366378690645275E-4	8.866698906039106E-5	4.6158068774421765E-4	4.877207198964554E-4	3.535700748911704E-4	1.7597469644886575E-4	0.0023830298911266127	4.386297395145525E-5	0.0015256368365332154	4.859954777744076E-4	8.520604880343486E-4	0.0	2.5669511573497652E-5	0.0014811465018101052	0.003216112715818433	5.013658166799238E-4	0.0010975153899438616	9.761733606931739E-4	0.0	1.7147861091868082E-4	1.050829292519965E-5	1.0456012860895172E-7	0.0012245036661394342	0.0015190495484308515	1.4220177490817434E-5	1.568401929134276E-7	3.062566166956196E-4	1.3242540288323736E-4	8.001463841800036E-4	0.0011616630288454536	0.0028118309785519252
TRBJ2-2P	0.0	0.0	2.0912025721790345E-7	0.0	0.0	0.0	0.0	0.0	1.0456012860895172E-7	0.0	1.0456012860895172E-7	2.0912025721790345E-7	1.0456012860895172E-7	0.0	1.0456012860895172E-7	3.136803858268552E-7	1.0456012860895172E-7	7.31920900262662E-7	3.136803858268552E-7	0.0	4.182405144358069E-7	0.0	0.0	1.0456012860895172E-7	8.364810288716137E-7	2.0912025721790345E-7	2.614003215223793E-7	0.0	2.6140032152237935E-7	1.0456012860895172E-7	1.0456012860895172E-7	3.659604501313311E-7	3.136803858268552E-7	0.0	3.136803858268552E-7	0.0	3.136803858268552E-7	0.0	1.0456012860895172E-7	2.0912025721790345E-7	4.705205787402827E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0912025721790345E-7	2.0912025721790345E-7	0.0	0.0	0.0	0.0	0.0	1.0456012860895172E-7	6.273607716537103E-7
TRBJ2-3	0.0016020180104820538	0.001202075518552814	0.002594502751238223	4.1442406974158023E-4	0.0031965599717685656	0.0017955588085372233	1.7163545111159427E-4	9.742912783782125E-4	0.005721216557096013	0.0012344891584215886	0.0020023264628614254	0.0027369659264679185	0.0027224843486555804	0.0	0.0032717909843027054	0.0058775862294307	0.004743736194795228	0.012550613637253984	0.0039141561344118074	0.0015218726719032928	0.00290975153899421	0.0011723281619635678	8.443230385172851E-5	6.084876684397952E-4	0.014413666008808284	0.004462364888708538	0.005811556508214167	7.822666021878728E-4	0.002331168067336573	0.0025484440145859782	0.0013345009214360522	9.802512057089225E-4	0.010603442642233795	3.5304727424812556E-4	0.001967194259648816	0.0012188574191945507	0.0028606605586123093	7.784501574936455E-5	5.562076041353188E-4	0.005110271725633914	0.006849629465043823	0.0041282429977386416	0.006937564533203952	0.002486492138385176	1.0435100835173383E-4	2.6908549097513735E-4	3.0343349322317794E-4	0.0	0.004397799009292516	0.004600645658793883	2.1821698840688225E-4	1.4115617362208484E-5	7.674713439897059E-4	5.042412202166697E-4	0.0018691691390779256	0.004049404660767486	0.008400935813150535
