.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0011918561396445314	0.0013596441177349907	0.004715238533896438	7.780011464410961E-4	0.005247172665224559	9.067734652560917E-4	1.1708826423832245E-4	1.9350941272391298E-4	0.005616851197661066	0.0016882013838875186	0.0012103111657780056	0.0022290533801928828	0.002838358247481022	1.8855504329210813E-4	9.01695236588492E-4	0.014162395312109713	0.007646532494635736	0.01410698894729736	0.00621467844243219	0.0022836340167666025	0.001599311738998552	0.0022490772899797667	1.5102569484618599E-4	0.009028306129166113	0.017644945444961247	0.006699711209805892	0.002850207447705423	0.0011563911117951943	0.0022274432101275507	6.715234900692225E-4	0.0	0.008425854806258624	5.408107098934361E-4	0.0038291495610181404	0.0015796181205071282	0.003484160302916789	0.0	3.466820009905479E-4	0.007161458440850108	0.004114727672349748	2.4821390853342536E-4	0.007924307474112257	0.0032632367126702237	3.8161030548477235E-4	1.4058023262746402E-4	2.1716652676078137E-4	0.0	0.0013409826595418594	0.0029982605208925244	2.6493490536576693E-4	0.0	0.0011752590020479847	5.388289621207144E-4	0.0017223039601431097	0.007365330742968872	0.005542989806715242
TRBJ1-2	1.6877885197682027E-4	5.891570982654659E-5	7.503392504468526E-4	1.1019343344572729E-4	3.850370776751042E-4	6.192961789756124E-7	0.0	1.2385923579512248E-7	0.0013152199384964727	1.6514564772682998E-7	2.3169934376074242E-4	6.331684133846658E-4	3.0824435148212823E-4	3.226533092462941E-4	0.0013978753351837512	8.1532406282736E-4	9.48968178250297E-4	0.0015999310351775258	3.655911776552701E-4	1.0321602982926872E-6	3.6150382287403085E-4	7.171449752537592E-5	8.257282386341499E-8	1.9739033544549355E-4	0.0010241507343779347	7.953001530404816E-4	9.684966510939943E-4	0.0011347570319429799	6.596330034328911E-4	4.0134521038812863E-4	1.610170065336592E-6	4.557194149021877E-4	9.495874744292723E-7	6.085617118733687E-4	8.8158875397775E-4	0.0015867193833593819	2.8900488352195243E-7	6.89483079259515E-6	0.002985461733193692	2.6910483297086957E-4	2.648936189538353E-4	0.0023375127843374794	8.949655514436235E-4	1.7340293011317146E-6	5.18144469742929E-5	8.257282386341499E-8	0.0	3.5506314261268425E-5	1.045784814230151E-4	2.8900488352195243E-7	9.000437801112234E-6	2.669992259623524E-4	2.601043951697572E-6	5.235117032940512E-4	3.535768317831432E-4	0.0017654482606117437
TRBJ1-3	6.115756199443828E-4	2.1667108981760096E-4	0.0013584880982009033	3.715777073853674E-7	0.002931913256918272	0.0011603958937525707	2.2740555691984487E-4	0.0	0.0038926067761571696	3.1856595446505504E-4	0.0010881859592840142	4.474621325158459E-4	0.0012610934524540046	0.0	0.003945040519310438	0.002234090322448549	0.0018615217411768255	0.005005399436952479	0.001989633477400912	6.180988730295929E-4	9.562345867502772E-4	4.432096320868798E-4	0.0	1.8884404817563004E-4	0.004368184955198514	7.638399071485204E-4	0.00558931316090262	0.0033980368476272463	0.0023051029509710886	8.337790889608327E-4	0.0	0.003820438128100547	3.715777073853674E-7	7.578120910064913E-4	0.0023331364246727197	8.309716129494768E-4	1.8991749488585447E-6	4.947763605895823E-4	0.006153863557656784	7.432379875945982E-4	2.4771847159024497E-7	0.004250518681193138	0.004151224860497387	3.118362693201867E-4	0.0	1.6514564772682998E-7	0.0	0.0012906132369851755	3.0762505530315253E-4	1.4037380056780546E-6	9.627991262474187E-5	5.997264197199827E-4	6.4221013759771E-4	7.530641536343446E-4	0.0033822241518574048	0.004131077091474706
TRBJ1-4	6.976577888219931E-4	1.3863977126667374E-4	2.3112133399369857E-4	0.0	0.0011094484614288433	3.766972224648992E-4	1.527597241473177E-6	4.954369431804899E-7	0.002213612262130425	1.024315880025663E-4	0.0011418582947952335	4.412691707260897E-4	0.0012096092967751656	8.257282386341499E-8	0.0014667410702858407	0.002286565352013752	0.0017718063680492255	0.00320774777503401	0.0015726407168906685	5.510910264644319E-4	3.5134736553883093E-4	4.272317906693091E-4	0.0	2.7942643595379655E-4	0.004351546531190029	0.0013979579080076149	0.0035073632664224083	0.0022001941782526205	0.0020599029505086806	6.913409677964422E-4	2.9313352471512317E-6	0.0025756940947714987	3.1563461921790375E-4	8.152827764154284E-4	8.192462719608719E-4	0.0016416303112285532	7.427425506514176E-5	3.1489146380313303E-4	0.004652276755700585	0.0013932512570474012	5.977033855353295E-4	0.002557610646345411	0.0018008307156372172	0.0	0.0	1.7885273648815688E-4	0.0	6.328381220892126E-4	2.2567152761871317E-4	0.0	0.0	0.0012443724556216627	1.7501310017850803E-4	5.030336429759242E-4	0.0023167457191358293	0.0020996204787869827
TRBJ1-5	4.828445875413191E-4	1.261712748632981E-4	7.873318755376618E-5	1.0515649119005898E-4	2.807476011356109E-6	0.0	8.670146505658573E-7	3.3697969418659655E-4	8.214757382051842E-4	2.3818131043402052E-4	2.4862677265274257E-4	7.221406310974959E-4	5.930380209870462E-4	6.192961789756124E-7	9.62881699071282E-4	0.002595594145322583	0.001489366024024416	0.0026422890772173453	6.346547242142077E-4	2.7116915356745485E-4	3.19267823467894E-4	2.7249031874926947E-6	0.0	1.4347028146268357E-4	0.0015915086071434598	1.8260979997394223E-4	7.758129666087158E-4	8.534314210403255E-4	6.59715576256754E-4	2.2236861466417654E-4	0.0	3.9523482142223574E-4	1.1593224470423465E-4	3.213321440644795E-4	1.533377339143616E-4	7.657390820973788E-4	0.0	3.475903020530454E-4	0.0031579150758324383	4.3086499491929933E-4	0.0012740573858005615	0.001850085405071744	6.057955222739442E-4	1.4037380056780546E-6	2.3780973272663515E-5	1.7674712947963976E-4	0.0	1.9301397578073252E-4	2.9251422853614754E-4	1.4107566957064448E-4	0.0	0.0	5.780097670439049E-7	1.7530210506203E-4	3.7434389698479185E-4	2.3818131043402052E-4
TRBJ1-6	0.0	0.0	8.034335761910279E-5	0.0	2.735224790475621E-4	1.3921778103371765E-4	0.0	0.0	1.0181229182359069E-4	0.0	1.2385923579512248E-7	0.0	0.0	0.0	2.7666024635437193E-4	9.491746103099552E-5	2.522599769027327E-4	2.462734471726352E-4	1.740222262921471E-4	2.394611892039034E-6	1.43263849403025E-5	1.7299006599385438E-5	0.0	6.572796779527834E-5	2.771556832975525E-4	2.0643205965853745E-7	3.935007921211041E-4	3.227358820701574E-4	1.4285098528370792E-4	1.1985445383774685E-4	1.0734467102243947E-6	0.0	0.0	4.5951776479990434E-5	5.2392456741336805E-5	1.6514564772682996E-6	0.0	0.0	3.542374143740502E-5	1.6514564772682998E-7	3.4614527763543565E-4	0.0010136226993353505	0.0	1.4297484451950305E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0713823896278094E-4	1.8058676578928858E-4
TRBJ2-1	3.524208122490552E-4	1.1163845786333704E-4	7.986443524069503E-4	2.0428516623808866E-4	4.8784024338505594E-4	2.8797272322365983E-4	3.3029129545365996E-7	2.0147769022673258E-4	0.0012836771197806483	1.3083663941158103E-4	8.240767821568816E-5	4.678576200101093E-4	6.069515418080326E-4	4.954369431804899E-7	5.122405128366955E-4	0.001197471091667242	6.92662132978257E-4	0.003108123663042796	0.0014565020401267744	2.4053463591412784E-4	6.811019376373792E-4	0.0012884250571527944	7.018690028390273E-7	0.002783034455492522	0.006227477230130997	7.48440075497994E-4	0.0010034662420001501	9.035944115373509E-4	0.0010354219248352916	4.8664293743903636E-4	0.0	0.0013206697448714581	1.0234901517870288E-4	9.533032515031263E-4	4.933726225839046E-4	3.503152052405382E-4	0.0	2.1576278875510332E-4	0.002387469342774847	0.0035023263241667317	0.001290159086453927	0.0013820213530019753	2.4136036415276204E-4	8.769233894294671E-5	2.188179832380497E-5	8.257282386341498E-7	4.954369431804899E-7	7.545091780519547E-4	5.987768322455541E-4	3.773578050558065E-5	1.1973059460195174E-5	1.0817039926107364E-4	1.7422865835180565E-4	3.276489650900308E-4	9.922363379547235E-4	0.0012448678925648434
TRBJ2-2	3.1315743450200143E-4	1.3533685831213714E-4	0.0014043573018570293	2.1468934204487892E-4	0.001178727060650248	0.001432638494030249	0.0	2.4771847159024496E-6	0.0017686686007424152	6.572796779527833E-5	4.747937372146362E-6	1.705954541018154E-4	7.877447396569791E-4	0.0	4.556781284902556E-4	0.002433049541547451	0.002497167339277388	0.00882525955528596	0.0011346331727071846	5.639723869871246E-4	0.0010587900339886376	5.140158285497585E-4	0.0	7.734596411286089E-4	0.008113234095111728	0.001276782288988053	9.740703167047747E-4	5.896112487967148E-4	2.344242469482352E-4	2.556867490930646E-4	8.257282386341498E-7	0.0014485337626239559	2.569666278629474E-4	7.365908752735938E-4	3.663343330700407E-4	7.123557514696811E-4	0.0	1.4318127657916157E-4	0.002483914401047314	0.0019105699985516938	0.001664213978555197	6.53068463935749E-4	8.579316399408816E-5	0.0	8.257282386341499E-8	3.550631426126844E-6	0.0	6.596330034328909E-4	0.001246519349042112	1.5895268593707384E-4	1.8166021249951296E-6	4.406911609590458E-4	1.6886142480068364E-4	4.1344212908411897E-4	0.001163946525178694	0.0015813934362201908
TRBJ2-2P	0.0	0.0	1.6514564772682998E-7	8.257282386341499E-8	2.8900488352195243E-7	8.257282386341499E-8	0.0	0.0	1.6514564772682998E-7	1.6514564772682998E-7	0.0	1.2385923579512248E-7	8.257282386341499E-8	0.0	0.0	2.4771847159024497E-7	1.6514564772682998E-7	8.257282386341498E-7	4.954369431804899E-7	8.257282386341499E-8	0.0	0.0	0.0	8.670146505658573E-7	3.3029129545365996E-7	2.4771847159024497E-7	8.257282386341499E-8	1.1560195340878097E-6	8.257282386341499E-8	8.257282386341499E-8	0.0	1.6514564772682998E-7	8.257282386341499E-8	2.4771847159024497E-7	8.257282386341499E-8	0.0	0.0	0.0	4.128641193170749E-7	2.4771847159024497E-7	0.0	3.3029129545365996E-7	1.6514564772682998E-7	0.0	8.257282386341499E-8	0.0	0.0	4.954369431804899E-7	2.8900488352195243E-7	0.0	0.0	8.257282386341499E-8	8.257282386341499E-8	0.0	5.780097670439049E-7	8.257282386341499E-8
TRBJ2-3	0.001860324435230808	0.0010115996651506964	0.002808590744478264	6.018733131404318E-4	0.004095818495685034	9.54046406917897E-4	1.3294224642009813E-4	3.844590679080601E-4	0.005816058135231557	0.001124063851252668	0.0018588794108131978	0.0016843617475778706	0.0035997622563255726	3.6435258529731867E-4	0.005420823313809322	0.0045671028878854734	0.006745208835754638	0.007848835913101098	0.003748104334396199	0.001960485270577128	0.0029818285289437054	0.005019973540364377	1.6514564772682996E-6	0.006352327339812506	0.01362373149563673	0.003701285543265642	0.005596703428638398	0.0014114585647092837	0.0020908677594574593	8.703588499323259E-4	9.190355295998085E-5	0.005741082011163579	9.033879794776915E-4	0.007834963678692053	0.001706491264373265	0.0022593988929626896	0.0	8.724231705289111E-4	0.008245804763824463	0.004324586504198624	0.011341707648935481	0.0077838511007206025	0.0024072455340901347	3.468058602263429E-5	1.2385923579512248E-7	0.0	0.0	0.002637541139845198	0.0035829999730812973	2.1522606539999117E-4	2.101478367323911E-5	0.0014216563084564152	3.197632604110745E-4	0.001207049539235399	0.009120952837540856	0.007229209442830043
