.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0011919622915790961	0.0013597279056611572	0.0046895447725514815	7.783745991290099E-4	0.005250526540230807	9.073392497571163E-4	1.1714667879868045E-4	1.9367424463118704E-4	0.005619941463849922	0.0016893914694903894	0.0012049785892233938	0.002230497557274772	0.0028402801107252585	1.8871565505240693E-4	9.021740522792204E-4	0.014171607694573719	0.007650029358982328	0.014115906204972098	0.006218319261269217	0.00228541393685976	0.0015993517470557074	0.0022472327971031526	2.0375671010803995E-4	0.008993972421151016	0.01741655003650727	0.006702938749435325	0.0028522633688739777	0.0011568389487294042	0.0022290513019809595	6.720541742439994E-4	0.0	0.008431833649236626	5.419325193808442E-4	0.0038306757359269426	0.0015807157145554585	0.0034842356106895033	0.0	3.470599489347856E-4	0.007266895670861915	0.0036676621035245487	2.3053309383345261E-4	0.007926222798520358	0.0032642395197109574	3.8189404072571596E-4	4.8565252766169005E-4	2.173928314496853E-4	0.0	0.0013417943400179024	0.0030001533030610972	2.6516057772526706E-4	0.0	0.0011759295186077082	5.391639735326922E-4	0.0017234404512646798	0.0073695797967224886	0.0055489096681339
TRBJ1-2	1.688812967372864E-4	5.908985914712982E-5	7.462677316064082E-4	1.102872965480346E-4	3.854063750106853E-4	7.024668569938512E-7	0.0	1.2396473946950313E-7	0.0013161749605275406	1.652863192926708E-7	2.3189670596761715E-4	6.336251050084533E-4	3.0892013075800205E-4	3.2292814631805565E-4	0.0013989420849133453	8.16390452566323E-4	9.498591553951549E-4	0.0016017897202652797	3.6594391091397357E-4	1.0330394955791926E-6	3.617291097720102E-4	7.17755841528423E-5	8.26431596463354E-8	1.9768243787403423E-4	0.0010254776464715576	7.958949489740323E-4	9.692802979120439E-4	0.001135682299859943	6.601122376751031E-4	4.0197632851977547E-4	1.6115416131035405E-6	4.5763649654158284E-4	1.4462552938108693E-6	6.092040513329606E-4	8.821330860649838E-4	0.0015872445241675193	2.8925105876217396E-7	6.9007038304690085E-6	0.0029881700449123773	2.693753788672306E-4	2.6507793456562076E-4	0.0023392559553693506	8.959758153057448E-4	1.7355063525730435E-6	5.185858267807547E-5	8.26431596463354E-8	0.0	3.553655864792426E-5	1.0483284801137648E-4	2.8925105876217396E-7	8.925461241804225E-6	2.672679782962488E-4	2.6032595288595655E-6	5.239576321577662E-4	3.5441519014330986E-4	0.0017667454669193618
TRBJ1-3	6.114767382232357E-4	2.1660772143304507E-4	0.0013518354839149318	3.718942184085094E-7	0.002933832167444908	0.001161136393031013	2.2759926166600772E-4	0.0	0.003895096078871261	3.1821748621821465E-4	0.0010889475930799394	4.4776063896384533E-4	0.0012618370830600725	0.0	0.003947822414725617	0.0022355387900131985	0.0018623222810503466	0.005008423404046868	0.001991204288518808	6.185427283729971E-4	9.565119297466857E-4	4.435045162420589E-4	0.0	1.8892226295152273E-4	0.004370872748955211	7.641599756698398E-4	0.005594446049099032	0.0034001461957493574	0.0023057028325529365	8.34324018209579E-4	0.0	0.003823403137878063	3.718942184085094E-7	7.582923113349503E-4	0.002334710581588801	8.31431507621957E-4	1.9007926718657145E-6	4.951978126008418E-4	0.006158320327365978	7.43871079976665E-4	2.4792947893900626E-7	0.004253643426996881	0.0041541823843625186	3.1201924924473934E-4	0.0	1.652863192926708E-7	0.0	0.001291051439995053	3.078457696825994E-4	1.404933713987702E-6	9.09901187706153E-5	6.000719821920413E-4	6.425092446704346E-4	7.535816512351093E-4	0.0033896918360540942	0.0041335629160307585
TRBJ1-4	6.977148753141865E-4	1.386752218865508E-4	2.3020252119486726E-4	0.0	0.0011099389556301078	3.7710073746622855E-4	1.528898453457205E-6	4.958589578780125E-7	0.002214506105883205	1.0251883954127909E-4	0.0011427482900097043	4.413971156710775E-4	0.0012103503946004062	8.26431596463354E-8	0.0014677011937390958	0.002288058517968446	0.0017728197391533654	0.0032096537127645547	0.0015737323675653436	5.514364827401732E-4	3.5073756953904754E-4	4.2751306485049306E-4	0.0	2.800363464616075E-4	0.004352897861732131	0.0013986115122747592	0.003509896311759692	0.0022011179140204976	0.002060831150520846	6.918472109792963E-4	2.9338321674449067E-6	0.002577226933570969	3.2594462164514687E-4	8.059774144508854E-4	8.194482494732383E-4	0.0016423261900718013	7.433752210187872E-5	3.149530814121843E-4	0.004655082574978957	0.0013937768874354467	5.975100442430049E-4	0.0025592933679277146	0.001802034096088345	0.0	0.0	1.7883979747466982E-4	1.652863192926708E-7	6.331705676303988E-4	2.2425221370033115E-4	0.0	0.0	0.0012448125921729278	1.7507953371076156E-4	5.032968422461826E-4	0.0023179753417604215	0.0021008717613694937
TRBJ1-5	4.831319112924769E-4	1.2615478320013098E-4	7.842835850437231E-5	1.0520474222978499E-4	2.8098674279754043E-6	0.0	8.677531762865218E-7	3.372254129368717E-4	8.220101874222752E-4	2.510285974257439E-4	2.4883855369511594E-4	7.226731095273799E-4	5.935018510001576E-4	6.198236973475156E-7	9.636192414762709E-4	0.0025971852566255616	0.0014904693842216594	0.0026449530029011427	6.351126818820873E-4	2.713174931189191E-4	3.194984551927328E-4	2.7272242683290688E-6	0.0	1.4355116830568458E-4	0.001592327078485768	1.8268270439822444E-4	7.764738064571442E-4	8.537864823062912E-4	6.601948808347503E-4	2.2255802892758126E-4	0.0	3.954061973278918E-4	1.1611363930310128E-4	3.2152321260406797E-4	1.5342702588342166E-4	7.663500194004682E-4	0.0	3.4784505895142566E-4	0.003160191781716222	4.3102539913546234E-4	0.0012751013101833099	0.0018513307408173836	6.062702191655165E-4	1.4049337139877021E-6	2.38012299781446E-5	1.7677371848351145E-4	0.0	1.93178385673309E-4	2.926394283076737E-4	1.4119583825576406E-4	0.0	0.0	5.785021175243479E-7	1.7541010634934684E-4	3.746214426768385E-4	2.3838419399985447E-4
TRBJ1-6	0.0	0.0	7.987461379818317E-5	0.0	2.7371414474866286E-4	1.3933636716372151E-4	0.0	0.0	1.0189901584393158E-4	0.0	1.2396473946950313E-7	0.0	0.0	0.0	2.768959063950468E-4	9.499831201346257E-5	2.524335311397316E-4	2.4648322364519544E-4	1.7417045895465187E-4	2.396651629743727E-6	1.4338588198639195E-5	1.7313741945907268E-5	0.0	6.528809612060497E-5	2.773504437731016E-4	2.0660789911583853E-7	3.937946557147883E-4	3.2284550315840935E-4	1.4289002302851395E-4	1.1987390306700951E-4	1.0743610754023603E-6	0.0	9.503963359328573E-7	4.5040522007252794E-5	5.2437084795599815E-5	1.6528631929267082E-6	0.0	0.0	3.541259390845472E-5	1.652863192926708E-7	3.464401252374381E-4	0.0010144034630789449	0.0	1.430553093478066E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0718817806129702E-4	1.8065794698688922E-4
TRBJ2-1	3.519772169337425E-4	1.1156826552255284E-4	7.911429672943687E-4	2.0441785538521064E-4	4.885037166694885E-4	2.8813537610694845E-4	3.305726385853416E-7	2.0156666637741205E-4	0.0012845226303829934	1.3107205119908792E-4	8.247787332704273E-5	4.6809085623684374E-4	6.073032586610949E-4	4.958589578780125E-7	5.125115545467487E-4	0.0011982844932920417	6.928802504748753E-4	0.0031099447406512538	0.0014573294772034797	2.4061555931030544E-4	6.785003406964132E-4	0.001284522630382992	8.677531762865219E-7	0.0027266457662115605	0.006188361115897406	7.485817400765062E-4	0.001004320997602092	9.042814528502015E-4	0.0010361386140659312	4.8705746137567784E-4	0.0	0.001321629409064197	1.2206394679763744E-4	9.343222413816448E-4	4.937515573070307E-4	3.504896400601086E-4	0.0	2.157812898365817E-4	0.002114135988492732	0.0037681148640746733	0.0012717955837974562	0.0013830745982612482	2.4156595564623837E-4	8.772571396458504E-5	2.8966427456040562E-5	8.264315964633541E-7	2.0660789911583853E-7	7.551931928482129E-4	5.990802642762853E-4	3.7726602378552114E-5	9.2147123005664E-6	1.1231205395936985E-4	1.7429442369412137E-4	3.279280574766589E-4	9.916765941762045E-4	0.0012455977021895686
TRBJ2-2	3.1301096716049537E-4	1.352455307612279E-4	0.001396008252745898	2.1487221508047203E-4	0.0011801443197496705	0.001433776176704274	0.0	2.4792947893900622E-6	0.001769431369607866	6.570131191883667E-5	4.751981679664287E-6	1.710713404679143E-4	7.881678135471006E-4	0.0	4.5602495492847887E-4	0.002434667483181046	0.002498302716108724	0.008830008392412667	0.0011351864409020647	5.642874940651781E-4	0.0010594853066660205	5.129247703449806E-4	0.0	7.90481822017197E-4	0.008068782248910278	0.0012776632481323463	9.739909580118857E-4	5.900721598748346E-4	2.34582608656123E-4	2.5582190068523136E-4	8.264315964633541E-7	0.0014495196986169018	2.586730896930298E-4	7.352761913734456E-4	3.666876993507902E-4	7.129625382689355E-4	0.0	1.4334456040656875E-4	0.0024643363774940782	0.0019319904646322064	0.0016635241605210858	6.533768201639274E-4	8.582492129271932E-5	0.0	8.26431596463354E-8	0.0	0.0	6.607733829522741E-4	0.0012465067769456776	1.5896411757972614E-4	1.818149512219379E-6	4.4119050777196146E-4	1.6896393989693277E-4	4.1371165718955504E-4	0.0011644834409966912	0.001582327256168563
TRBJ2-2P	0.0	0.0	2.479294789390062E-7	8.26431596463354E-8	1.652863192926708E-7	8.26431596463354E-8	0.0	0.0	1.652863192926708E-7	1.652863192926708E-7	0.0	1.2396473946950313E-7	8.26431596463354E-8	0.0	0.0	3.305726385853416E-7	8.26431596463354E-8	7.437884368170188E-7	5.785021175243479E-7	8.26431596463354E-8	0.0	0.0	0.0	4.1321579823167706E-7	6.611452771706833E-7	3.305726385853416E-7	8.26431596463354E-8	1.1983258148718636E-6	8.26431596463354E-8	8.26431596463354E-8	0.0	1.652863192926708E-7	8.26431596463354E-8	2.479294789390062E-7	8.26431596463354E-8	0.0	0.0	0.0	4.958589578780125E-7	2.479294789390062E-7	0.0	3.305726385853416E-7	1.652863192926708E-7	0.0	8.26431596463354E-8	0.0	0.0	4.958589578780125E-7	2.8925105876217396E-7	0.0	0.0	8.26431596463354E-8	8.26431596463354E-8	0.0	5.785021175243479E-7	8.26431596463354E-8
TRBJ2-3	0.0018604214883784808	0.001011593595650969	0.0027887107791059445	6.023859906621387E-4	0.004098728824239825	9.546937802344664E-4	1.3305548703059996E-4	3.8462126499404513E-4	0.00581911147859759	0.0011246494380471562	0.0018571157619926269	0.0016856312057264811	0.0036020434347653527	3.647455850991014E-4	0.0054249449286643955	0.0045696295479046465	0.00674851645198028	0.007854943073325385	0.0037495614747340635	0.0019617420021048894	0.002982054451098549	0.0050212744153718715	2.1074005709815533E-6	0.006322821536642012	0.013596700554494008	0.0037032399837522894	0.0056011401450303845	0.0014444371442986507	0.002092442159085567	8.709762595127289E-4	9.194051510654815E-5	0.005746798713907046	9.065954613202992E-4	0.007838579727715428	0.0017070357840748825	0.0022606623105456847	0.0	8.726704442854785E-4	0.008240142840436965	0.004338187379315085	0.011341327406165702	0.007788456651389941	0.0024083456368336857	3.471012705146087E-5	1.2396473946950313E-7	0.0	0.0	0.0026394159112048394	0.0035853081949369747	2.1466560718135622E-4	2.090871939052286E-5	0.0014226193501520178	3.2007695731025703E-4	0.0012079124213908391	0.009127358480820195	0.007233962371742858
