sample	level	amp_clones	rna_clones	amp_shannon_H	rna_shannon_H	amp_pielou_J	rna_pielou_J	amp_clonality	rna_clonality	morisita_horn	bhattacharyya_BC
S044	AA	11385	11361	7.5043	7.5036	0.8035	0.8036	0.1965	0.1964	0.999999	0.9984
S044	NT	13744	13721	7.5557	7.5549	0.793	0.793	0.207	0.207	0.999999	0.9984
S045	AA	32747	32664	8.6466	8.6458	0.8317	0.8318	0.1683	0.1682	0.999997	0.9952
S045	NT	38871	38783	8.7017	8.7009	0.8234	0.8235	0.1766	0.1765	0.999997	0.9952
S046	AA	45473	45409	9.6457	9.6446	0.8994	0.8994	0.1006	0.1006	0.999986	0.9903
S046	NT	53603	53529	9.6969	9.6957	0.8905	0.8905	0.1095	0.1095	0.999986	0.9903
S047	AA	6956	6951	6.689	6.6887	0.756	0.7561	0.244	0.2439	0.999998	0.9993
S047	NT	8544	8536	6.7526	6.7523	0.7459	0.7459	0.2541	0.2541	0.999998	0.9993
S048	AA	33343	33293	8.7995	8.7982	0.8449	0.8449	0.1551	0.1551	0.999973	0.9951
S048	NT	39210	39147	8.8562	8.8549	0.8373	0.8373	0.1627	0.1627	0.999972	0.9951
