.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.002010683337866938	7.943846429759154E-4	0.004318392915227143	5.989080670112865E-4	0.0011243035755401482	0.0010801855983259092	1.8889803735043455E-4	0.0	0.0054131452776273355	0.001203872566397546	2.2116420293433962E-4	5.251866660331734E-4	0.0022666198163334476	2.1777051237939816E-4	0.0017546946487765078	0.007886832428436144	0.003411128903331479	0.008937466813622104	0.001706347611024573	0.0	0.003948689487234209	8.290002866363184E-4	4.4864589136326256E-4	4.3392249541720856E-4	0.04609435817218916	0.004340008113530922	0.0027525963038010654	0.0	0.0024320230729189007	0.003607284217407095	0.003019340381419468	6.801477978341931E-4	0.004727567574905242	6.787381109882944E-7	0.0012750356468034724	7.334548448587354E-4	0.002344935752216712	1.7292158643024853E-4	5.174072830687691E-5	0.005086724456865891	0.0027661188553969097	0.0	0.008979339734007687	0.0018389625957869011	2.752021986937923E-4	0.0	0.0	0.0	0.0010118941022357031	0.0016267786201671752	0.0	2.098867081671495E-5	0.004242896353035672	8.440369463259052E-4	0.0013999234592253183	0.004131426670961829	0.0035650980332779755
TRBJ1-2	7.319929473889143E-5	0.0	6.927305581994375E-4	0.0	3.281437713508793E-4	2.5593647846650915E-4	0.0	0.0	9.064808525368281E-4	1.9349257225558612E-4	3.9904579863719495E-4	1.490091206738917E-4	1.4712953821269337E-4	0.0	0.0023238426601521526	1.6524662471368863E-4	3.9977674737210535E-4	5.203310780084108E-4	0.0034231373468335794	2.4016887004201185E-6	9.653744363210435E-5	0.0	0.0	6.004221751050296E-6	3.4740949157816226E-4	2.2487115723281417E-4	9.04288006332097E-5	3.6547436745523544E-7	6.737258910917655E-4	8.508765380597104E-4	7.30948734910471E-7	0.0	3.498111802785826E-5	0.0	0.0	9.643302238425998E-4	3.1326374353305897E-7	0.0	0.0	0.0010443168996913748	4.5658190619943343E-4	0.0	0.0010187859045934302	4.176849913774119E-7	0.0	0.0	0.0	0.0	0.0	1.4096868458987653E-5	2.0884249568870595E-7	0.0	1.0442124784435298E-7	0.0	0.0	7.758498714835426E-5	2.758287261808584E-4
TRBJ1-3	0.0	0.0	7.470818177024235E-4	1.5715397800575122E-4	2.8183294793190873E-4	7.766330308423752E-4	0.0	0.0	0.003292088680788915	9.911142739146767E-4	3.760731241114372E-4	0.0012156199567800354	0.0	0.0	0.0031291393235278026	8.748934250639112E-4	0.0015772307380650303	0.006021607888816379	1.1225284143267946E-5	3.954954762104869E-4	1.4357921578598534E-5	0.0	0.0	1.8273718372761773E-6	0.002310528951051999	4.988725115763964E-4	0.0	2.2152967730179485E-4	0.001647088552872902	0.0010666630467300662	0.0	5.647623189661831E-4	0.0038285006309653567	4.698956152995884E-6	5.89562365329217E-4	0.0012129572149600044	2.085814425690951E-4	0.0	0.0	8.675317270908845E-4	0.0010505821745620358	2.483137273738713E-4	0.002706285480382096	0.0031266854242034616	0.0	0.0	0.0	0.0	7.352822166960115E-4	9.260598365076445E-4	0.0	0.0	8.184015299801166E-4	3.4808822968915065E-4	0.0012346768345116302	0.001816773080619976	0.0016560687801875165
TRBJ1-4	0.0012179694348565335	4.0938350217378593E-4	4.2024331194959863E-4	0.0	0.001887518476034525	0.0020582994268839644	0.0	6.379094030811523E-4	0.0040216799394774145	1.0442124784435298E-7	0.001424566873716586	9.951867025806064E-4	0.0010239025457378036	0.0	0.0033183506246217687	0.005069599372219418	0.002181255446220689	0.005861843379614528	0.0020418008697245553	7.053655291886044E-4	0.0016447912854203274	2.3348591017997324E-4	0.0	9.084648562458709E-6	0.0031892859622861475	0.010295673984333602	0.001317117409684747	5.022139915074156E-4	4.7694404952908226E-4	0.003501714335836453	6.134226204616515E-4	0.0015969663539076126	0.007162044547148491	1.3470340971921535E-5	0.0013624362312491963	9.881904789750353E-4	0.0	0.0	6.115430380004534E-4	0.011845441934215563	0.0019368575156409821	0.001438924795295185	0.0025613487883741322	0.0025044392082989608	0.0	0.0	0.0	0.0	0.003663880533738733	7.974128591634017E-4	0.0	0.0	0.0	5.04354627088225E-4	0.0017606988705275582	0.0022092403406429755	0.0037938327766810337
TRBJ1-5	3.5670298263630975E-4	6.265274870661179E-7	1.252010761653792E-4	0.0	0.0	4.1350814146363785E-5	0.0	0.0	7.452544458651472E-4	5.79537925536159E-6	0.0	1.0442124784435298E-7	1.5188070498961144E-4	0.0	0.0018515975667760672	0.0014782916057325055	3.571206676276873E-5	0.0012124873193447051	2.6105311961088245E-7	0.0	1.20397698764539E-4	0.0	0.0	4.176849913774119E-7	4.182070976166336E-4	0.0	9.400522837187878E-4	1.6164409166305845E-4	3.8432240269114116E-4	3.458431728604971E-4	5.221062392217649E-7	1.6065208980853705E-4	4.7469899270042866E-4	0.0	1.5845924360380567E-4	0.0	2.0696291322750763E-4	0.0	0.0	0.0014091125290356216	0.002216758670487769	0.0016244291420906775	0.0016013520463170757	2.2628084407871294E-4	1.0442124784435298E-7	0.0	0.0	0.0	5.13230433154995E-4	3.417707441945674E-4	0.0	2.767163067875354E-6	1.227993874649591E-4	0.0	1.0442124784435298E-7	1.4989670128056872E-4	2.0884249568870595E-7
TRBJ1-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010251033900880136	0.0	0.0	0.0	0.0	0.0	2.0884249568870595E-7	1.9787826466504888E-5	0.0	2.6105311961088245E-7	0.0	0.0	0.0	2.145856643201454E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.756576841768859E-4	0.0	3.509076033809482E-4	3.7090427234314177E-4	0.0	1.5663187176652948E-7	1.0442124784435298E-7	0.0	0.0	0.0	8.262331235684429E-4	3.819207139907211E-4	7.998667584877438E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5647523989476293E-4	9.763386673447003E-6
TRBJ2-1	1.0008776605881234E-4	9.189069810303063E-6	3.4746170220208454E-4	1.9902689839133676E-4	0.0010607632462268596	7.95742119197892E-4	0.0	0.0	0.001747750635794859	0.0	1.790824400530653E-4	5.16519702462092E-4	2.2069430731904002E-4	1.2358254682379174E-4	0.0011062386996630756	0.0017721329971665143	4.0656412848198844E-4	0.008094160816031102	0.0010872340325554033	4.70939827778032E-4	5.203832886323332E-4	1.535514449551211E-4	8.875806066770003E-7	1.194056969100177E-4	0.004637347616767714	5.487858680459967E-4	8.60587714109235E-4	1.1449789826133306E-4	0.0010162797946451653	0.0015655877689303844	5.445045968843789E-4	5.526494542162383E-4	0.004301528883700274	1.4096868458987653E-5	6.131615673420406E-4	7.865008387636668E-4	9.854233159071594E-4	0.0	2.871584315719706E-4	8.220562736546688E-4	0.0020968830779624515	6.074706093345234E-4	0.0013089203417289653	3.716352210780522E-4	0.0	0.0	2.796401017271773E-4	4.176849913774119E-7	0.0014842958274835561	5.375605839027291E-4	0.0	0.0	1.2159854311474905E-4	2.1855367173823081E-4	2.0602312199690843E-4	6.592635482653227E-4	5.858554110307424E-4
TRBJ2-2	5.221062392217649E-7	0.004335935684864992	4.958442953889101E-4	0.0	9.893913233252445E-5	6.154066241706943E-4	0.0	0.0	0.0011469629863223732	6.265274870661179E-7	0.0	1.58250401108117E-4	1.3318930162547224E-4	0.0	6.944012981649473E-6	0.0013722518285465648	0.002162302989736939	0.0019346646694362497	0.0011222673612071847	6.688180924430808E-5	2.485747804934823E-4	1.388280490090673E-4	0.0	4.385692409462825E-5	0.001323695948298941	6.025628106858389E-4	5.743168631439414E-7	1.6514220346584426E-4	1.4608532573424983E-4	2.8997780526376823E-4	2.5583205721866477E-6	4.281271161618472E-6	0.0010278705531558893	8.019551834446308E-5	4.598189648826083E-4	1.5751945237320645E-4	0.001537080768268877	0.0	3.7346259291532846E-4	8.693590989281606E-4	0.0018298257366005206	5.441391225169235E-4	0.001269188056924188	2.010109021003795E-5	0.0	0.0	0.0	0.0	8.472740050090801E-4	4.432159864753562E-4	0.0	0.0	4.257254274614271E-4	7.68018277895216E-5	3.1326374353305897E-7	8.074895095803816E-4	0.001627927253893464
TRBJ2-2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0442124784435298E-7	0.0	4.176849913774119E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0442124784435298E-7	0.0	0.0	0.0	0.0	1.0442124784435298E-7	1.0442124784435298E-7	0.0	0.0	0.0	1.0442124784435298E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0442124784435298E-7
TRBJ2-3	0.002302018619352684	1.7109421459297238E-4	0.0027458611333151055	2.225216791563162E-4	0.00202869600312009	0.0019441147923661643	3.612975175414613E-4	3.821295564864098E-4	0.007714537369492956	0.0021314465109989332	3.6672742242936765E-4	0.002147788436286574	0.0016081916380508805	0.0	0.00494084797362733	0.004934321645637059	0.004715298078283526	0.017067287485791997	0.013643314768975715	6.220373734088106E-4	0.002186215455493296	1.0896357212558232E-4	0.0	8.745279506964566E-5	0.006970274925482324	0.0018494569311952582	0.004065223599828508	0.0016825917771399821	0.0028268398110184024	0.0035357034520097914	0.0018388059639151346	0.0026917709269317306	0.008793939808460044	1.2097201562768292E-4	0.0015962876157966238	0.0010992424760575038	0.0014917619467044274	0.0	4.159098301640579E-4	0.020913852992634454	0.005273273016139828	0.005670543653563669	0.01976135568017631	0.002568919328842849	0.0	4.1705846389034583E-4	1.0442124784435298E-7	0.0	0.006544184023653447	0.0028324785584019976	2.3860255132434656E-4	0.0	0.003093166203645423	5.06756315788645E-4	0.0017388748297280884	0.004011864342180042	0.008609688516638672
