.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0013901523056746583	0.0014592125986064466	0.004746744134178251	3.8454026746109456E-4	0.003920688857587338	8.085286113392868E-4	5.5719099979056555E-5	6.204962683113719E-4	0.007256771871826339	6.876207803049205E-4	0.0018945540360953944	0.0015494095266476618	0.003727947858223172	3.2583901846907444E-4	0.0012500959388728426	0.01342103083683328	0.005941487201898191	0.01357584099348874	0.0024751313623560464	9.180310303591603E-4	0.002745146644038587	0.002635382633000035	4.0023578858195555E-5	4.7180736489308263E-4	0.03253184503519027	0.006288305900265484	0.0026501364228536436	4.192273691381975E-4	0.0028360237113283725	0.0021618487607836575	0.0010670861626036036	0.0010532741040172454	0.010620531321641797	3.495915737653109E-4	0.0036290660751617447	0.0010442230201708816	0.0038389151925476575	2.8879758862384246E-5	0.001002734526008073	0.007238774340941101	0.007033110695854077	3.876793716852668E-4	0.009671109249040915	0.003978343738504635	1.6783743918574035E-4	1.6757584716705932E-4	3.348377839117014E-5	0.0	0.004119708065399856	0.0026649948495147263	1.7134277223606595E-4	7.324576523068468E-7	8.96842076845998E-4	3.0778916918008427E-4	0.0020326746219589725	0.004846358374891987	0.005793426119324736
TRBJ1-2	5.922443302938218E-5	1.3738812821127E-4	5.627367505866035E-4	9.417312672516601E-6	7.553207947395679E-4	6.393308936564048E-5	0.0	0.0	0.0013329682903909872	1.8117863213847215E-4	1.50258455530376E-4	5.258522759525803E-4	6.008768669102958E-4	2.149240025483233E-4	0.001200602728938392	7.211045586960915E-4	6.042775631531491E-4	0.0029471480008640737	7.272781303369625E-4	2.329215334335773E-4	2.1900483803974718E-4	4.88130706858777E-5	1.313191933778704E-5	4.373818552346598E-5	0.001251717809388662	7.035255750407273E-4	0.0012001318633047678	2.47518368075978E-4	0.0020076664249730715	4.7154577287440095E-4	2.3402021991203762E-4	1.2132637826425554E-4	0.0012091829471511288	2.0927361494481337E-7	0.0012570542865697571	5.377285536006981E-4	8.446283099172671E-4	2.6159201868101673E-7	1.5224655487235177E-4	0.0018018981430785778	0.0018412415826882036	6.181419401432429E-4	0.0020461727701229166	0.001067713983448437	2.6159201868101673E-7	1.0463680747240669E-7	0.0	0.0	3.992940573147041E-4	2.2329494714611587E-4	2.5515685502146377E-4	2.6682385905463705E-5	6.44039549992663E-5	2.0644842114305841E-4	1.7877198556660683E-4	7.843051904094245E-4	0.0013217721519914395
TRBJ1-3	5.78118361285047E-4	6.054808864390815E-4	0.0011524697975010872	9.977119592493977E-5	0.002285215556793627	9.183449407815775E-4	1.4398024708203158E-4	3.3489010231543755E-4	0.0037514911399044626	6.443534604150806E-4	0.001998719977934177	7.777653899423991E-4	0.0014393839235904244	0.0	0.003596576346441568	0.003313847692651121	0.0018974315483008862	0.004592718753578864	0.0016837108690384956	0.00116110233411756	8.041338654254453E-4	2.1419154489601654E-4	1.1510048821964736E-5	4.760974739994504E-6	0.004494412472958551	9.706633445177807E-4	0.004996459875211144	8.071160144384093E-4	0.004114842453852386	0.0031073469531043255	6.662748715805498E-4	3.0585338824184484E-4	0.004793464468714676	2.3747323455862698E-4	5.515929305907919E-4	0.0010702252668277747	0.0018365329263519462	0.0	4.515601426471711E-4	0.004818524984104323	0.002067675634058494	0.0020875043090745156	0.004163603206134526	0.0021507049407878485	1.8724756697187177E-4	0.0	1.6914539927914539E-4	0.0	0.002444368140959157	0.0012170307077115615	1.90386671196044E-4	0.0	4.073510914900792E-4	2.3747323455862695E-4	9.434054561712189E-4	0.0020713379223200276	0.005447706107435892
TRBJ1-4	6.414759482095895E-4	9.657977329703135E-5	8.351586788410143E-4	0.0	0.0010064491326733432	3.3829079855829093E-4	0.0	2.0780869964019967E-4	0.003043727774161103	1.720752298883728E-4	7.974371097472119E-4	5.023089942712886E-4	0.0016259513513137269	1.2540721375567943E-4	0.0019921278590634174	0.0022134870252712917	0.001630084505208888	0.0030782056022232596	0.0012202744487432061	3.5356777244926227E-4	5.844488881371276E-4	0.001002002068355766	7.324576523068468E-7	6.257281086849916E-5	0.005842082234799416	0.0011172071933828864	9.129561451967486E-4	4.6573843005968225E-4	0.0021662958251012364	9.768892345623887E-4	0.0012522409934260265	5.612718352819897E-4	0.004162766111674751	7.423981490167254E-5	9.249370596523393E-4	0.0010527509199798834	8.570800900064835E-4	0.0	3.672751942281476E-4	0.0034374237622760294	0.0012938341243963068	5.750838938683471E-4	0.0053663509896261065	0.0015299470804577935	0.0	0.0	0.0	0.0	0.0011318040280252864	6.260943375111452E-4	3.128640543424961E-4	4.195935979643508E-5	2.5646481511486886E-4	2.84821389939891E-4	1.928979545753818E-4	0.002259004036521789	0.002447402608375859
TRBJ1-5	4.112226533665583E-5	1.1860582126997296E-4	3.106666813855755E-4	1.0798518531152368E-4	1.6495992698024916E-4	5.020474022526071E-4	4.912698110829494E-5	7.85770105714038E-4	0.0012735869021503977	0.0	3.3525633114159096E-4	4.462236654660784E-4	1.99908620676033E-4	1.935780938239524E-6	7.389974527738726E-4	0.0015774521910502661	0.0010388865429897898	0.0033970339545916846	9.907536115524825E-4	1.285463179798516E-4	3.5487573254266747E-4	1.7003481214266083E-5	0.0	3.374537040985116E-5	0.0014308560237814242	2.3041025005423956E-4	0.001156602951396247	3.051732489932741E-4	0.001958644080672246	0.0013499717716052545	2.0885506771492376E-4	2.492448753992728E-4	0.0012135253746612356	5.352172702213603E-5	1.5266510210224136E-4	7.594016302309917E-4	4.2639499045005733E-4	0.0	1.6679107111101628E-4	0.0031995319804875174	0.002522845746563461	6.591595686724262E-4	0.0017832204729447537	0.0015574142424193008	2.790663655289087E-4	9.166184334582825E-5	0.0	0.0	6.237923277467526E-4	2.7195106262078495E-4	0.0	1.517233708349897E-6	1.5324060454333956E-4	1.5993736022157362E-4	3.3687820165741335E-4	4.636980123139703E-4	7.270165383182818E-4
TRBJ1-6	1.8934030312131993E-4	0.0	1.5695521120861002E-7	0.0	2.56517133518605E-4	1.2556416896688801E-5	0.0	0.0	9.898641986889672E-5	1.2865095478732403E-4	0.0	0.0	0.0	0.0	7.324576523068467E-6	2.0733783400657386E-4	3.358318335826893E-4	0.0012968162734092717	5.394027425202565E-5	0.0	0.0	0.0	2.0927361494481337E-7	8.004715771639111E-6	3.8752241647405816E-4	0.0	2.3689773211752878E-4	0.0	3.3159404288005687E-4	1.3848681468973026E-4	2.502389250702606E-4	6.220658204234575E-5	7.706500870342753E-5	0.0	1.3461525281325122E-4	1.265582186378759E-4	1.8808466143165102E-4	0.0	1.0463680747240669E-7	5.827223808138328E-4	1.4989222670422258E-4	1.8986348715868196E-4	5.419663443033306E-4	3.471326087897092E-4	0.0	0.0	0.0	0.0	1.8264354744308586E-4	5.8073428147185705E-5	0.0	0.0	5.237072213993955E-5	1.0463680747240669E-7	9.380689789901256E-5	1.828005026542945E-4	2.4003683634170092E-4
TRBJ2-1	2.4380376141070766E-4	1.5067700276026567E-4	6.263559295298269E-4	1.0118379282581727E-4	7.830495487197558E-4	3.958410426681146E-4	2.0508814264591708E-5	2.600224665689307E-4	0.002231484556156545	3.4388886775806466E-4	6.954685408653516E-4	5.693811878611012E-4	7.712779078791101E-4	1.0463680747240669E-7	8.806756900915111E-4	0.0016619987314879696	0.0011440465344995556	0.003817360010208341	8.487614638124271E-4	3.323265005323635E-4	8.526330256889065E-4	6.898181532618417E-4	3.175727106787542E-5	6.294950337540021E-4	0.007969976351558147	0.0010007987450698327	0.0015828933050388322	1.9117144725208703E-4	0.001284939995761153	8.690086860583382E-4	4.157220360878719E-4	5.739328889861511E-4	0.0032207209340006783	1.5528102228905171E-4	9.680474243309714E-4	5.831932464474587E-4	7.584075805600039E-4	0.0	3.918125255804269E-4	0.0020473760934088463	0.0039878656879846364	0.0020782962700169427	0.001457695364898097	8.944877486778687E-4	1.556995695189411E-4	1.0400898662757224E-4	9.181879855703684E-5	6.278208448344401E-7	0.001163404343881952	0.0010396190006420956	9.045852005989556E-5	2.485124177469659E-5	3.785759694351673E-4	7.727428231837231E-5	4.137339367458962E-4	0.0012065147085605847	0.0016105174222115451
TRBJ2-2	8.002623035489666E-4	3.2531583443171243E-4	6.889287403983259E-4	1.9007276077362677E-4	9.93631123757972E-4	8.55405901086925E-4	2.406646571865354E-6	1.3832985947852163E-4	0.001348977721934265	1.5998967862530979E-4	1.1876277648118158E-4	5.663467204444014E-4	6.196591738515924E-4	7.136230269618135E-5	0.001099261980901368	0.0028863540157226023	0.0016903029879092553	0.002790559018481614	0.0016321249229545984	3.2944898832687263E-4	0.0016586503536488537	6.406911721535464E-4	6.968811377662285E-5	2.2183003184150234E-4	0.007489170221222568	0.0014331580335458175	8.372514149904624E-4	8.873201273660087E-5	4.615006393570499E-4	4.8792143324383246E-4	3.537770460642072E-4	1.7605142857232423E-4	0.002385248344737246	4.441832477203664E-5	0.0015260755185813135	4.868750651691083E-4	8.514297024029737E-4	0.0	2.6002246656893057E-5	0.0014021855385339857	0.003300035634064764	4.7625442921065905E-4	0.0010980063392116988	9.76679960947444E-4	0.0	1.7155204585101076E-4	4.760974739994504E-6	0.0	0.0012251923786944085	0.0015195357181142885	1.423060581624731E-5	1.5695521120861002E-7	3.0768453237261183E-4	1.311099197629256E-4	8.007331691825924E-4	0.0011604745132727243	0.0028132128872993913
TRBJ2-2P	0.0	0.0	2.0927361494481337E-7	0.0	0.0	0.0	0.0	0.0	1.0463680747240669E-7	0.0	1.0463680747240669E-7	1.0463680747240669E-7	1.0463680747240669E-7	0.0	1.0463680747240669E-7	3.1391042241722003E-7	1.0463680747240669E-7	7.324576523068469E-7	3.1391042241722003E-7	0.0	4.1854722988962675E-7	0.0	0.0	1.0463680747240669E-7	6.801392485706435E-7	3.1391042241722003E-7	2.6159201868101673E-7	0.0	2.6159201868101673E-7	1.0463680747240669E-7	1.0463680747240669E-7	3.662288261534234E-7	3.1391042241722003E-7	0.0	3.1391042241722003E-7	0.0	3.1391042241722003E-7	0.0	1.0463680747240669E-7	2.0927361494481337E-7	3.662288261534234E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0927361494481337E-7	2.0927361494481337E-7	0.0	0.0	0.0	0.0	0.0	1.0463680747240669E-7	5.231840373620335E-7
TRBJ2-3	0.0016034021193034238	0.0012021199626467442	0.0025784602097350473	4.1457103120567533E-4	0.0031985379308165293	0.0017957245714377062	1.7170900106221938E-4	9.622923999199883E-4	0.00572300554789581	0.0012356037410379132	0.0019966272417847276	0.0027381882963416772	0.002723905372121693	0.0	0.0032736148401779817	0.005880588579949254	0.004743761985165291	0.01255850963283826	0.003916346430077236	0.0015225701855309894	0.002908066153273127	0.0011718799252872188	8.44942220339684E-5	6.016093245626025E-4	0.014387090161822293	0.0044644340276177	0.005815504485701413	7.828925935085467E-4	0.0023870794888680136	0.0025499989981025485	0.0013354272553665909	9.806561596313946E-4	0.010613729929156093	3.543002301015692E-4	0.001966910388462564	0.0012205360407618882	0.0028611365451217535	7.790210316320676E-5	5.556737660822156E-4	0.005158803882004594	0.006807042873309943	0.004125463089810834	0.006940140892414848	0.0024870076400041637	1.0442753385746185E-4	2.6923050562650244E-4	3.0365601528492417E-4	0.0	0.004401704261537998	0.004602502295077542	2.1827238038744036E-4	1.4125969008774904E-5	7.676156196175753E-4	5.041401384020553E-4	0.00186996438633938	0.00405101400129423	0.00840557938106588
