.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0018386700705808846	0.002066598880982017	0.004956523396811991	7.942872938194589E-4	0.0046686337371878986	0.004596204134660722	0.0	0.0	0.013588669017663849	7.467397812193683E-4	0.0017316050422086532	0.002765624899557239	0.0010999657081575689	0.0	2.4056381374940836E-4	0.007189538571894326	0.010578878220069308	0.01434377671776738	0.0034911400918187594	8.022118792528072E-4	0.004229179454065854	6.492618387210478E-4	0.0	6.0736682761887E-5	0.031835276353014544	0.0076054407654417375	0.004755083760097154	0.0	0.004410946168900699	0.0034751246709080054	0.0036460851328791928	0.001386414534066505	0.010189576033570897	4.821251277631544E-6	0.0036222005432164435	0.0011183640463664614	0.0033058267093773793	0.0010705394503596108	0.008490223499909149	0.007026170195268371	9.041785729406467E-4	0.029567625752087205	0.00449102327345446	4.806842940480001E-4	0.001644490019123173	0.0	0.0	0.00670087427573163	0.0010598440308586584	0.0	0.0029651803691061033	0.0	0.004868909623594343	0.013145113900121736	0.058022761626031275
TRBJ1-2	3.459109249997252E-4	0.0	2.7708340676043353E-7	1.1083336270417341E-6	1.7035087847631455E-4	1.1083336270417342E-7	0.0	5.388718094676911E-4	2.105833891379295E-6	0.0	8.976948212224525E-4	8.866669016333873E-7	1.82154631604309E-4	0.0	4.0565010749727465E-5	0.0010562419465707726	6.300876669732259E-5	0.0018928121682618732	0.0	9.897419289482687E-5	1.2529711653706807E-4	5.9018765639972344E-5	0.0	0.0	1.2701503365898274E-4	0.0	1.1083336270417342E-7	0.0	8.454368907074348E-4	2.7708340676043353E-7	0.0012914857589103807	1.9950005286751214E-6	2.2166672540834683E-7	0.0	3.3776467284096854E-4	1.1083336270417342E-7	4.302551140176012E-4	0.0	0.002062442629880611	4.993042989823012E-5	0.0024156131401374594	4.776363765736356E-4	1.1083336270417342E-7	0.0	0.0	0.0	0.0	1.1083336270417342E-7	1.1083336270417342E-7	0.0	2.7708340676043353E-7	0.0	1.1083336270417342E-7	2.7154173862522486E-6	4.780242933431001E-4
TRBJ1-3	0.0	0.0	2.1945005815426333E-4	5.11329718835704E-4	0.0011988290676896913	2.902171602408781E-4	1.3854170338021676E-4	0.0	0.001987020526560421	0.0	0.0010868319546771244	0.0	5.841472381323459E-4	0.0	0.004341287400441122	4.0864260829028747E-4	0.0018608921598030719	0.004663590819184859	3.8159926779046904E-4	5.370430589830723E-4	2.476017322811234E-4	3.6901968112354537E-4	0.0	1.0252086050136044E-5	0.0015858591702526648	0.0	0.0021227913958730337	0.0	0.00641237503261266	0.0012408349121545736	8.598452278589774E-4	0.0010197777702410993	0.0024873777424884117	0.0	0.0	0.001212018237851488	6.101376616864746E-4	0.0	0.0021639105734362818	0.0025579231778496193	0.0	1.662500440562601E-7	8.510339755239955E-4	0.0027866832384710327	0.0	0.0	0.0	0.002544789424369173	0.002180258494435148	0.0	0.0	0.0	0.0012887703415241285	0.0	0.0036614909702950725
TRBJ1-4	0.0	1.1770503119183217E-4	4.862813788645609E-4	0.0	0.0	4.217209450893799E-4	0.0	0.0022409397605156825	0.0019465663491733975	0.0	0.0	0.0	9.919031795209998E-4	0.0	0.0012547999158552992	0.005682204839117567	7.42638946799314E-4	0.00330100545809975	5.086697181308039E-4	0.0	2.7259465557091453E-4	2.1019547236846492E-4	0.0	7.204168575771272E-6	0.001645376686024806	2.0276963706728526E-4	6.681035103807574E-4	0.0	0.003125112911488226	6.587935079136068E-4	0.0	4.775255432109312E-4	0.004487144105759815	2.7708340676043354E-6	1.778321304588462E-4	9.723965076850655E-4	0.0036480247167265155	5.167051369268564E-4	0.002182087244919766	5.734518186313931E-4	5.270126396583445E-5	0.003103943739211726	0.0010183369365259452	0.0	0.0	0.0	0.0	2.2443755947595116E-4	0.0	0.0	1.4025962050213147E-4	0.0	2.1213505621578793E-4	0.001304120762258656	6.064247440358848E-4
TRBJ1-5	0.0	0.0	0.0	0.0	1.379875365666959E-5	0.0	0.0	0.0	6.012709926701407E-4	7.402006128198222E-4	0.0	0.0	2.8816674303085084E-4	0.0	8.341873043929612E-4	8.91100236141554E-4	7.671331199569361E-4	0.001974939690025666	1.7689004687586077E-4	0.0	3.8791676946460697E-7	7.508960323207749E-5	0.0	6.040418267377451E-6	7.037918531715012E-5	0.0	0.0	2.6600007049001618E-6	9.199169104446394E-4	0.0	0.0	2.9027257692223015E-4	1.0529169456896475E-6	2.4494173157622328E-5	0.0	3.014667465553517E-5	4.987501321687804E-7	0.0	9.755552585221344E-4	0.0022437660112646393	0.0	6.095834948729537E-7	2.1834172452722165E-5	0.0	0.0	4.510917862059858E-5	0.0	5.903539064437797E-4	0.0	0.0	0.0	0.0	1.3300003524500809E-6	5.018534663244972E-4	5.639201494388343E-4
TRBJ1-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014432166324523943	4.1789719407608585E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.1781586455453634E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5838087530426381E-4	1.1083336270417342E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6173298602590555E-4	0.0	0.0	0.0	0.0	0.0	4.400084499355684E-5	1.1083336270417342E-7
TRBJ2-1	3.29175087231395E-4	7.331626942881071E-5	3.4424842455916274E-4	7.569918672695045E-5	7.370972786641052E-4	1.8287504846188612E-6	0.0	5.191988875877003E-4	0.0014908195617338365	5.054555506123829E-4	1.2828961733008074E-4	3.460217583624294E-4	5.098334684391977E-6	1.662500440562601E-7	5.287305567802592E-4	3.311700877600703E-4	1.3782128652263965E-4	0.002307218111412779	0.001059456114089193	6.71650177987291E-5	5.17037637014969E-4	0.0014985778971231287	1.1083336270417342E-7	1.7749963037073368E-4	0.008375510969510341	5.091130515816204E-4	5.868072388372462E-4	4.867801289967296E-4	0.0012269253251351996	6.139059960184166E-4	0.0	1.72567545730398E-4	8.676035632482695E-4	2.992500793012682E-5	6.205005810993148E-4	5.807668205698687E-5	3.251296694926929E-4	0.0	0.0010058681832217258	0.003550879274316307	1.8620004934301135E-5	6.053164104088431E-4	5.132693026830271E-4	5.774418196887434E-4	1.034075274029938E-4	2.6600007049001618E-6	0.0	6.689901772823908E-4	2.8478632546837364E-4	0.0	7.37596028796274E-5	1.2901003418765787E-4	7.7971270662386E-5	5.942330741384257E-4	2.2222089222186775E-4
TRBJ2-2	5.544993136089794E-4	3.1288258291388156E-4	3.291750872313951E-4	2.2598922655380957E-4	7.440797805144682E-4	0.0	0.0	0.0	0.0011526115554420515	1.3399753550934565E-4	0.0	8.988585715308465E-5	1.8647713274977178E-4	0.0	2.881667430308509E-4	0.0010514761119744932	0.0015446845760080648	0.0017179171219146878	0.002126338063479567	4.821251277631544E-6	6.52642256283525E-4	3.992217724604326E-4	0.0	1.3300003524500812E-5	0.003434393410114222	0.001597773756743364	6.621185087947321E-4	0.0	1.4408337151542545E-6	5.985001586025364E-6	3.158750837068942E-6	1.1083336270417342E-7	0.0019266717605679977	0.0	3.9018885340004244E-4	7.380393622470908E-4	2.793554906958691E-4	1.662500440562601E-7	5.373201423898327E-4	6.256543324650586E-4	0.0	0.002012567616663733	0.0	0.0	0.0	0.0	0.0	0.0016807325287274374	0.0012732536707455442	2.0980755559900024E-4	2.5923923536506156E-4	2.1767672435099662E-4	3.2867633709922627E-4	0.0021198543117613737	8.375677219554384E-4
TRBJ2-2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1083336270417342E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1083336270417342E-7	0.0	0.0	0.0	0.0	0.0	1.1083336270417342E-7	1.1083336270417342E-7	0.0	0.0	0.0	2.2166672540834683E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8791676946460697E-7	4.4333345081669366E-7
TRBJ2-3	0.0010272590222236313	0.001027536105630392	0.002770446150834871	6.650001762250404E-7	0.003448912580628468	0.002704223216619127	1.9068880053253035E-4	0.0	0.008163708413382657	6.083089112018559E-4	0.0	0.0	0.001372837447135244	0.0	0.002211014752585555	0.005298222654028957	0.005212493047977278	0.011593834739032777	0.002866150759529925	0.003479114671965357	0.0026219294448112792	6.283143331699592E-4	0.0	8.955335706497211E-5	0.00843824265280089	0.007455926559153805	0.0022150601703242578	4.154588600965941E-4	8.638352289163278E-4	0.0016986321168041612	0.0012514194982928223	4.4050720006773715E-4	0.018303741933824773	4.322501145462763E-6	0.005165721368916117	4.964226315519927E-4	0.013207845583412293	0.0014290299620262597	0.006142828294516108	0.004585231631753011	0.0043873386626447075	0.0034289071586603645	0.0019169738413313837	2.464933986540817E-4	0.0	0.0	0.0	0.003867807274968893	0.001937367180068951	5.414763934912391E-4	0.0015148704014406422	0.0	0.0037761480840125396	0.005057270923510081	0.004755139176778507
TRBJ2-4	4.5159053633815453E-4	0.0	0.0	0.0	1.3078336799092464E-4	7.436918637450037E-5	0.0	0.0	0.00142769996167381	1.1083336270417342E-7	0.0	0.0	0.0	0.0	0.0	0.0	5.946209909078904E-5	3.566063445006781E-4	2.841767419735006E-4	0.0	2.6655423730353707E-5	6.129084957540791E-5	0.0	1.163750308393821E-6	0.0014598970535393719	0.0	9.436906667446846E-4	5.550534804225005E-4	3.059000810635186E-5	8.20776467505756E-4	3.302834208584369E-5	1.4352920470190458E-5	0.0	0.0	0.0	2.192838081102071E-4	5.536126467073462E-5	0.0	0.0019056688383355576	5.885805726405129E-4	0.0	4.900497131965028E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.966419042767629E-5	0.0	0.0	0.0	0.0	4.1872844429636716E-4	4.37182199186612E-4
TRBJ2-5	5.893564061794423E-4	6.746980954616557E-4	9.34380664277534E-4	5.359347253560305E-4	0.0028370015851387266	0.0014975249801774386	0.0	3.690196811235454E-4	0.001791510474750259	3.022425800942809E-4	2.2116797527617807E-4	1.660283773308518E-4	7.560497836865187E-4	0.0	9.270656623390582E-4	0.004806898357161358	0.0013219095169726763	0.00743237446957917	0.0017018462843225828	2.749775728690543E-4	8.350185546132424E-4	0.00118231489664677	0.0	7.869168751996313E-6	0.011843930221974733	0.0015362058237611957	0.0010230473544408725	1.0745294514169612E-4	0.0012679890860170958	0.002534980671769854	7.699593707058927E-4	5.678547338148325E-4	0.003948549379698883	6.828443476204124E-4	1.7744421368938166E-4	8.758606487697305E-4	9.493985849239494E-4	2.587404852328928E-4	6.136843292930081E-4	0.002106997641687688	0.0	0.0016735837768330185	9.938981800496748E-4	0.0	0.0	0.0	0.0	0.002194445164861282	0.0019379213468824715	5.77109319600631E-4	1.496250396506341E-6	2.759750731333918E-4	9.249598284476792E-4	0.0019897913606280243	0.001023047354440872
TRBJ2-6	0.0	0.0	0.0	2.2166672540834683E-7	2.1263380634795672E-4	0.0	0.0	0.0	0.0013298341024060244	0.0	8.712056475361551E-4	3.555534275549883E-4	2.3740506291233948E-4	0.0	6.462139212466831E-4	0.00172434545695153	3.9750385533851806E-4	6.795747634206394E-4	1.675800444087102E-4	1.033521107216417E-4	0.0	0.0	0.0	6.151251630081624E-6	0.0014945878960657786	0.0	6.073668276188703E-4	0.0	5.536680633886983E-4	3.948992713149699E-4	4.328042813597972E-4	2.0504172100272082E-6	4.4056261674908933E-4	0.0	5.3937055959986E-4	0.0	1.1083336270417342E-7	0.0	0.0016202729293723112	6.484860051821185E-4	8.625606452452296E-4	7.674656200450487E-4	3.900226033559863E-4	0.0	0.0	0.0	0.0	2.0825588852114185E-4	9.960594306224065E-4	0.0	1.0734211177899195E-4	2.643375700494536E-4	9.947294302699564E-5	5.938451573689612E-4	3.7456134925875406E-4
TRBJ2-7	6.617860087066197E-4	4.2510136265185716E-4	8.20056050648179E-4	3.541680105211862E-4	0.003549660107326562	6.428889203655578E-4	2.2327380916755736E-4	0.0014602849703088368	0.06592146746918831	0.0024199356412829233	0.0010882727883922787	0.0017250104571277546	0.0012192224064272597	0.0	0.005561562723814069	0.0029025595191782467	0.0016345150164797978	0.02576775932845595	0.0037184593187250176	0.0	0.0010848923708298016	8.933169033956377E-5	9.975002643375607E-7	2.2604464323516167E-4	0.002058064712053797	3.9678343848094085E-4	0.008937436118420497	0.0	0.024876548258951702	0.010087166006432237	0.0	0.009895368872272658	0.011234734643871246	0.0	3.4208717398643125E-4	9.42637749798995E-4	0.003076734148667854	4.098617752800334E-4	0.003723557653409411	0.007034482697471187	8.975839878597485E-4	0.006339668346678719	0.0054131568511531815	0.0	0.0	0.0022291360073876886	1.1083336270417342E-7	0.006023349929521007	8.304189700610194E-4	3.214167518421029E-6	9.159269093872891E-4	1.9589796857962652E-4	0.0013849182836699987	0.003305605042651972	0.021915136224177553
