sample_id	metadata_blank	x	mean	ciL	ciU	type
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	0.0	0.0	0.0	0.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	288409.0	6895.0	6806.8	6983.2	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	576818.0	8317.0	8232.72	8401.28	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	865227.0	9193.0	9112.64	9273.36	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1153636.0	9798.0	9721.56	9874.44	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1442046.0	10246.0	10171.52	10320.48	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1730455.0	10595.0	10524.44	10665.56	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2018864.0	10877.0	10808.4	10945.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2307273.0	11111.0	11046.32	11175.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2595683.0	11311.0	11248.28	11373.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2884092.0	11485.0	11424.24	11545.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	3172501.0	11639.0	11582.16	11695.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	3460910.0	11777.0	11722.12	11831.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	3749319.0	11902.0	11849.08	11954.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	4037729.0	12017.0	11966.04	12067.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	4326138.0	12122.0	12073.0	12171.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	4614547.0	12219.0	12171.96	12266.04	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	4902956.0	12310.0	12264.92	12355.08	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	5191366.0	12395.0	12351.88	12438.12	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	5479775.0	12475.0	12433.84	12516.16	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	5768184.0	12550.0	12510.8	12589.2	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	6056593.0	12621.0	12583.76	12658.24	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	6345003.0	12688.0	12652.72	12723.28	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	6633412.0	12752.0	12718.68	12785.32	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	6921821.0	12813.0	12781.64	12844.36	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	7210230.0	12870.0	12840.6	12899.4	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	7498639.0	12925.0	12895.6	12954.4	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	7787049.0	12977.0	12949.56	13004.44	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	8075458.0	13026.0	13000.52	13051.48	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	8363867.0	13074.0	13050.48	13097.52	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	8652276.0	13119.0	13095.48	13142.52	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	8940686.0	13162.0	13140.44	13183.56	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	9229095.0	13203.0	13183.4	13222.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	9517504.0	13243.0	13223.4	13262.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	9805913.0	13280.0	13262.36	13297.64	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.0094323E7	13316.0	13300.32	13331.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.0382732E7	13350.0	13334.32	13365.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.0671141E7	13382.0	13368.28	13395.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.095955E7	13413.0	13399.28	13426.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.1247959E7	13443.0	13431.24	13454.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.1536369E7	13471.0	13459.24	13482.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.1824778E7	13498.0	13488.2	13507.8	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.2113187E7	13523.0	13513.2	13532.8	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.2401596E7	13547.0	13539.16	13554.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.2690006E7	13570.0	13562.16	13577.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.2978415E7	13591.0	13583.16	13598.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.3266824E7	13611.0	13605.12	13616.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.3555233E7	13630.0	13624.12	13635.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.3843643E7	13648.0	13642.12	13653.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.4132052E7	13665.0	13661.08	13668.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.4420461E7	13681.0	13677.08	13684.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.470887E7	13696.0	13692.08	13699.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.4997279E7	13709.0	13707.04	13710.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.5285689E7	13722.0	13720.04	13723.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.5574098E7	13733.0	13731.04	13734.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.5862507E7	13744.0	13742.04	13745.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.6150916E7	13753.0	13753.0	13753.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.6439326E7	13762.0	13762.0	13762.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.6727735E7	13770.0	13770.0	13770.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.7016144E7	13777.0	13777.0	13777.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.7304553E7	13782.0	13782.0	13782.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.7592963E7	13787.0	13787.0	13787.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.7881372E7	13791.0	13791.0	13791.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.8169781E7	13795.0	13795.0	13795.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.845819E7	13797.0	13797.0	13797.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.8746599E7	13799.0	13799.0	13799.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.9035009E7	13799.0	13799.0	13799.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.915319E7	13800.0	13800.0	13800.0	1
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.9323418E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.9611827E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	1.9900236E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.0188646E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.0477055E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.0765464E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.1053873E7	0.0	0.0	0.0	2
