.	TRBV1	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV17	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0	0.0025979661517464706	0.002490592108351194	0.0036310466894603883	3.980992400519572E-4	0.00279626987777148	0.005011470982416158	2.7577262389307254E-4	4.815352899277705E-5	0.013949154522211004	6.538888432679121E-4	0.0011074617813454095	0.001232737280763938	0.0013616208255825023	0.0	0.0	0.001727282349778373	0.011588937746680288	0.0035692242192405504	0.015947803517365054	0.002491355348724276	0.0018429132663006548	0.0029333409102285835	0.0018320544373563183	1.1493706163765872E-4	1.2947332147049317E-4	0.03360068602819991	0.004503950827059292	0.0015528472317843664	1.8231037093446926E-4	0.0010473739483371316	0.0020278602857966856	6.72553539664248E-4	3.5830666241887704E-4	0.00929002305020596	2.2973535229839308E-4	0.003406931561727433	8.957319633029615E-4	0.0026029272141715213	0.0	4.4607930532357864E-4	0.005152150060273299	0.005197597555216058	2.464225622735557E-4	0.01028206207149447	0.0024838964087145893	9.956817594327817E-5	0.0	1.1788594489730287E-4	6.938548846221474E-8	0.0033191242260785007	0.0033307462953959207	1.973670219307699E-4	0.0	0.0020076691086541787	9.064173285261423E-4	0.0019263493161764675	0.004924669736349926	0.005402111282458429
TRBJ1-2	0.0	1.4449527972256227E-4	2.6994424286224663E-4	3.969890722365618E-4	1.8734081884797986E-6	1.1542276005689418E-4	2.445838468293072E-4	2.5735077670635445E-4	3.816201865421811E-7	0.0016254591454600727	3.568495671611705E-4	2.2973535229839305E-4	2.4135742161581408E-4	1.6662925054200875E-4	1.609396404881071E-4	0.0	9.20016884264737E-4	5.190381464415981E-4	5.894991099749767E-4	0.0010989967517530189	3.688532566651337E-4	6.938548846221474E-8	0.0010662121084546224	6.411219133908643E-5	6.938548846221474E-8	2.1162573980975496E-6	0.0010388742260005088	4.6252366608912353E-4	5.380844630244756E-4	6.938548846221474E-8	0.0018909627170607386	6.64608901235324E-4	9.800700245287827E-5	8.600331294891518E-5	0.0017032402780262155	1.0525778599717976E-4	6.399076673427758E-4	5.426985980072125E-4	9.069377196896093E-4	6.938548846221474E-8	2.020158496577383E-4	4.644317670218348E-4	9.293839252071357E-4	5.682324577613079E-4	0.002169927073423067	7.243498068012911E-4	2.4284920961775163E-7	0.0	1.7346372115553687E-7	0.0	1.0109465668944683E-4	1.7582282776325235E-4	3.122346980799664E-7	1.2177153225118688E-5	1.110167815395436E-6	0.0	5.845380475499282E-4	5.126546815030739E-4	7.388513738898939E-4
TRBJ1-3	0.0	6.872632632182375E-4	6.938548846221474E-8	8.795998372354965E-4	6.938548846221474E-8	0.001330154506564888	0.0012219825300522952	2.9693519787404805E-4	7.064830435222707E-4	0.004315395762163225	4.31022654327278E-4	0.0011975935308578263	0.0031848633059041137	9.290369977648245E-4	1.7415757604015905E-4	0.0	0.0036950201098225432	0.0033992297725081227	0.0011964139775539687	0.004579997322413879	0.0014658725219969806	9.406937598264765E-4	5.971315137058203E-4	2.2616199964258895E-4	6.938548846221474E-8	3.7815091211907036E-6	0.0024158292445331593	4.5763198915253734E-4	0.003934677586971053	0.0012116093995271939	0.0036564070854933216	0.0030277051745371967	7.60256797080487E-4	8.202752446003029E-4	0.004077056609295521	5.465841853610968E-4	3.963992955846329E-4	0.0018965135561377152	0.0012299271684812181	0.0	1.2583058332622647E-4	0.002769972777644299	4.164517017502132E-4	9.554728688689285E-4	0.005635489372901087	0.0010587531684449344	6.938548846221474E-8	0.0	7.857906568345819E-5	0.0	0.001378689655744207	4.42332488946619E-4	6.938548846221474E-8	0.0	0.0011530480472650843	4.708499247045893E-4	4.071193535520452E-4	0.0023844323110040057	0.004726886401488388
TRBJ1-4	0.0	3.775264427229105E-4	7.624077472228158E-4	0.0010342947837620041	6.938548846221474E-8	9.686908044209804E-4	0.0012095625276175594	4.065989623885784E-5	1.0792912730297502E-4	0.003244465440493153	6.794920885104692E-4	3.826262761248833E-4	8.796345299797275E-4	0.0013077083010473618	0.0	0.0	0.0012642729852700148	0.0027655667991269466	0.0014541116817026341	0.002423322877287074	0.0012171602386041708	4.3480416344846896E-4	4.1523745570212414E-4	4.655419348372299E-4	9.367040942398991E-7	1.134452736357211E-5	0.0038445111447143886	8.314463082427197E-4	0.0012773868425893734	8.270750224695997E-5	0.001403564353357911	0.0012611506382892157	5.221604934223973E-4	3.906056072980379E-4	0.024567909676468287	2.021893133788938E-4	3.7822029760753266E-4	5.899154229057497E-4	0.0015205829796494361	6.046945319482015E-5	4.845188659316456E-4	0.0030043569576696585	0.0018630003652104659	7.982106592693184E-4	0.0025369763073881807	0.0014339551973043606	1.3877097692442948E-7	1.2555304137237757E-4	0.0	0.0	9.777803034095305E-4	8.099021140752018E-4	0.0	0.0	4.341450013080777E-4	6.438973329293528E-5	8.77136652395088E-4	0.0015168708560167072	0.0030012693034330946
TRBJ1-5	0.0	7.458940009688086E-6	2.193275290290608E-4	3.1154084319534435E-4	0.0	6.194042555021912E-4	3.700328099689912E-4	0.0	5.669141334805257E-4	0.0015008428081819361	2.4284920961775163E-7	4.163129307732885E-7	5.162627269031091E-4	4.378224321965751E-4	0.0	0.0	0.001426600335527366	0.002248228597152682	9.142578887223726E-4	0.0021674291958384308	3.7509795062673306E-4	9.068683342011466E-5	1.8609188005565996E-4	6.053883868328237E-5	9.367040942398992E-7	2.671341305795268E-6	0.0011199858620128383	9.672337091632736E-5	7.451307605957244E-4	0.0014098090473195102	5.504003872265186E-4	5.604959757977709E-4	4.6422361055644784E-4	0.0	8.711001148988751E-4	1.1316773168187227E-4	8.46849886681331E-5	0.0011430565369265257	4.0274806777892546E-4	0.0	3.3627676983212377E-4	0.0010393252316755143	0.001629622274767806	0.002280839776729922	0.002393452424504096	7.944985356365901E-4	2.0329948119428923E-5	0.0	2.2935373211185084E-4	0.0	9.575197407785635E-5	2.1648272400211002E-4	6.938548846221474E-8	0.0	5.706956426017163E-5	1.1396566479918773E-4	3.6874917843244024E-4	4.5041589835246714E-4	8.272484861907557E-4
TRBJ1-6	0.0	0.0	0.0	0.0	8.107694326809793E-5	9.946409771058484E-5	6.938548846221474E-8	0.0	0.0	6.938548846221474E-8	2.529447981890039E-4	0.0	0.0	0.0	0.0	0.0	5.059242891222389E-4	2.64948487692967E-4	2.877069279085734E-4	9.50546499188111E-4	9.738253305671839E-5	0.0	5.009632266971905E-5	0.0	0.0	0.0	1.2225723067042242E-4	6.647129794680172E-5	7.632403730843622E-7	0.0	2.7830519422194345E-4	1.7464327445939452E-4	3.642738144266274E-6	0.0	3.974400779115661E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.938548846221474E-8	8.673186057776843E-7	3.321830260128531E-4	6.999955003510537E-4	2.3223322988303276E-4	6.938548846221474E-8	0.0	0.0	0.0	1.966037815576855E-4	9.394795137783877E-5	0.0	0.0	2.4683887520432897E-4	0.0	0.0	2.0489534742892018E-4	6.294998440734432E-4
TRBJ2-1	0.0	3.1372648608190423E-4	1.3877097692442948E-7	2.648791022045049E-4	2.5967519056983873E-4	0.0021398137714304707	5.224727281204773E-4	9.443364979707427E-5	4.3227159311959795E-5	0.0015182238730417216	3.520619684572777E-4	4.3584494577540196E-4	4.155843831444354E-4	5.196626158377577E-4	3.4692744231107373E-7	0.0	0.0010355784152985543	9.406590670822462E-4	8.593392746045303E-4	0.0029948858384945673	0.0010712772491123642	1.2354086220697343E-4	9.376407983341389E-4	4.855943410028101E-4	1.353017025013188E-6	3.138305643145981E-4	0.006833117596503145	8.258607764215116E-4	0.001276519523983596	2.560671451698035E-4	0.0010782851834470481	9.56860578638173E-4	5.577899417477445E-4	0.0010982335113799353	0.001908066239966673	1.8342053874986482E-4	5.646244123612726E-4	0.001064026465568063	6.047639174366638E-4	0.0	1.0015795259520699E-4	0.002147480867905542	0.007049114622086027	0.0013893750209673873	0.0023517170531940712	2.6675251039298464E-4	9.797230970864721E-5	6.8344706135281525E-6	1.3877097692442948E-7	3.4692744231107373E-7	5.939050884923278E-4	7.089809211069107E-4	1.7346372115553687E-7	0.0	2.457634001331648E-4	1.0144158413175796E-4	2.242538987098782E-4	5.939397812365582E-4	8.81195703470128E-4
TRBJ2-2	0.0	8.999644780991573E-4	8.13544852219468E-5	0.0011587029645747547	3.507436441764956E-5	6.865347155893846E-4	0.001444016093131382	1.0997599921261038E-4	1.7433103976131466E-4	0.0013438234477919427	2.982535221548301E-4	5.766974873536979E-4	2.6533010787950934E-4	3.6399627247277877E-4	4.475364005812851E-5	0.0	4.272758379503185E-4	0.002124410192991853	0.0011336201104956644	0.0029677561125058425	0.0016689638467258816	1.4487689990910437E-4	0.0016455462443698853	7.0519941198572E-4	4.5100567500439583E-7	1.513297503360905E-4	0.005855649527791701	7.515489182784793E-4	8.348808899215993E-4	4.6418891781221664E-5	5.366273677667689E-4	1.6805165305548413E-4	6.244693961599328E-7	6.622844873718396E-5	0.0016375669131967296	4.2640851934454076E-4	0.0014284737437158454	3.4567850351875396E-4	1.0019264533943809E-4	0.0	3.829732035671943E-4	2.9513117517403057E-4	0.0031596416808480987	0.003675869715006976	0.0013075348373262062	2.760848585911525E-4	0.0	5.5022692350536293E-5	0.0	0.0	0.0017973616931252104	0.0013092347817935293	6.452850426985972E-6	0.0	2.7698686994116143E-4	2.8017860241042326E-4	7.0332600379724E-4	8.767897249527776E-4	0.002266164745920155
TRBJ2-2P	0.0	0.0	6.938548846221474E-8	1.7346372115553687E-7	6.938548846221474E-8	2.7754195384885896E-7	0.0	0.0	1.1101678153954359E-6	6.938548846221474E-8	0.0	0.0	0.0	3.816201865421811E-7	0.0	0.0	0.0	5.203911634666105E-7	0.0	2.922516774028487E-4	6.938548846221474E-8	0.0	2.7754195384885896E-7	6.938548846221474E-8	0.0	1.3877097692442948E-7	8.326258615465768E-7	1.3877097692442948E-7	1.3877097692442948E-7	0.0	5.550839076977179E-7	0.0	1.0407823269332212E-7	0.0	6.5916214039104E-7	0.0	6.938548846221474E-8	0.0	0.0	0.0	0.0	4.856984192355032E-7	3.469274423110737E-7	0.0	2.7754195384885896E-7	6.938548846221474E-8	0.0	0.0	0.0	0.0	4.163129307732884E-7	2.7754195384885896E-7	0.0	0.0	6.938548846221474E-8	0.0	0.0	0.0	3.122346980799664E-7
TRBJ2-3	0.0	0.001910702888528239	0.0011646354238382748	0.0021709678557500054	3.845343770575941E-4	0.0028856036941665806	0.0028330788794006852	1.563255055053698E-4	3.8900974106340726E-4	0.005596564113873788	0.001112839156701231	0.0010242338879349823	0.0032095645397966625	0.0028741550885703175	1.313467296589725E-4	6.938548846221474E-8	0.002339817441922801	0.005245508234999206	0.0036224775816353014	0.009254775222067153	0.0040356334726835705	6.153452044271515E-4	0.0028138244063524213	0.001171192352497954	0.0	1.0685365223181057E-4	0.010602623028189912	0.0034050581535389536	0.003680761391943562	4.476404788139785E-4	0.0018460703060256846	0.0017534406789286297	0.0014328797222331968	0.0010948683151895172	0.006911037500046221	3.357563786686572E-4	0.0025876277139655996	0.001232771973508169	0.0014779455969894048	0.0	4.447956737870277E-4	0.008799328875801185	0.011238922650132665	0.020293798279940056	0.004084099236374431	0.0025642101116096065	1.62847741420818E-4	1.2107767736656473E-5	0.0	0.0	0.005209497166487318	0.003764509676517455	2.3119244755609954E-4	6.647129794680172E-5	9.466956045784584E-4	9.268860476224958E-4	0.0010858482016894296	0.003490992080999406	0.01140697430318816
