.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-1	TRBV12-2	TRBV12-3	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
TRBJ1-1	0.0018389496843779986	0.0020688253188901424	0.005005417310133837	7.939849024330317E-4	0.004666752339192332	0.004595020062880712	0.0	0.0	0.013584542165284545	7.464588073941352E-4	0.00173342845937905	0.0027645453115341277	0.0010995810170362854	0.0	2.4051084459077876E-4	0.007186300076883757	0.010576328681167549	0.014338257287888585	0.0034901214408051104	8.018505265536882E-4	0.004251203662057362	6.49357123707439E-4	5.8604438870807E-5	0.03178022338372526	0.007602070320895365	0.004753108029362076	0.0	0.004411008771832675	0.0034736701002147253	0.0036448305124177445	0.0013858454216528551	0.010184487659832873	1.1078343831910585E-7	0.0036262742864992922	0.001117860284358938	0.003304503789901452	0.0010702234058817225	0.008489057919797285	0.007025442524444414	0.0010361021068794377	0.029555858117435083	0.0044896096213200825	4.805231637091217E-4	0.0016468512023326682	0.0	0.0	0.00669846520624557	0.00105936662892645	0.0	0.002964121675665997	0.0	0.004866882620515797	0.013140799103097374	0.05800216470838519
TRBJ1-2	3.4586589443224853E-4	0.0	2.7695859579776464E-7	1.1078343831910586E-6	1.702741446964657E-4	1.1078343831910585E-7	0.0	5.386290771074926E-4	2.104885328063011E-6	0.0	8.972904586655979E-4	8.862675065528468E-7	1.8207258087745047E-4	0.0	4.054673842479274E-5	0.0010557661671810787	6.298038468441167E-5	0.0018919041678945314	0.0	9.892961041896153E-5	1.2524067701974917E-4	5.899218090492387E-5	0.0	1.270686037520144E-4	0.0	1.1078343831910585E-7	0.0	8.450560674981395E-4	2.7695859579776464E-7	0.0012909040150133812	1.994101889743906E-6	2.215668766382117E-7	0.0	3.3761252827747514E-4	1.1078343831910585E-7	4.301166992739285E-4	0.0	0.0020615136119610826	4.990793896275719E-5	0.0024145250381649125	4.7719966055954845E-4	1.1078343831910585E-7	0.0	0.0	0.0	0.0	1.1078343831910585E-7	1.1078343831910585E-7	0.0	2.7695859579776464E-7	0.0	1.1078343831910585E-7	2.714194238818093E-6	4.776427943128248E-4
TRBJ1-3	0.0	0.0	2.204036505358611E-4	5.111547844043545E-4	0.0011983444522977687	2.901418249577382E-4	1.3847929789888232E-4	0.0	0.001986236265623249	0.0	0.0010863423961571523	0.0	5.838841116608475E-4	0.0	0.004339608845836016	4.0845853708254326E-4	0.0018601093210969474	0.004661877867906293	3.814273781326815E-4	5.368011503752274E-4	2.4749020120488246E-4	3.6885345788346296E-4	1.0302859763676847E-5	0.001585421785784724	0.0	0.0021218351941258346	0.0	0.006410151308020098	0.0012402759837015496	8.594579144796233E-4	0.0010193184159740935	0.00248675583994897	0.0	0.0	0.0012115276814577418	6.099182196658375E-4	0.0	0.002162935849742224	0.002556826364685804	0.0	1.661751574786588E-7	8.506506311332544E-4	0.0027854833813764387	0.0	0.0	0.0	0.0025436431355258314	0.002179331798613451	0.0	0.0	0.0	0.001288189820774563	0.0	0.003659952451748302
TRBJ1-4	0.0	1.1759661977573088E-4	4.897181890896075E-4	0.0	0.0	4.2158637452335737E-4	0.0	0.0022398749476548424	0.0019458557023559358	0.0	0.0	0.0	9.914009895176784E-4	0.0	0.001254400872087236	0.005681473242476187	7.423598201763285E-4	0.003299850885492047	5.08495981884696E-4	0.0	2.7252725826500037E-4	2.102669659296629E-4	7.200923490741881E-6	0.0016450232756004036	2.027336921239637E-4	6.679133496258892E-4	0.0	0.003124037568879627	6.584967573687653E-4	0.0	4.7736583571702715E-4	0.0044848459334723605	2.7695859579776466E-6	1.7775202678300535E-4	9.720138878118348E-4	0.0036464368722733714	5.164723894436715E-4	0.002181048941907398	5.731935098630537E-4	5.267752492073483E-5	0.00310276714872236	0.0010178782312759448	0.0	0.0	0.0	0.0	2.2433646259618938E-4	0.0	0.0	1.401410494736689E-4	0.0	2.120395009427686E-4	0.0013036441104200783	6.061515827629876E-4
TRBJ1-5	0.0	0.0	0.0	0.0	1.379253807072868E-5	0.0	0.0	0.0	6.010001528811493E-4	7.398671928141485E-4	0.0	0.0	2.880369396296752E-4	0.0	8.339223319470693E-4	8.906988440856112E-4	7.668429600448507E-4	0.0019741054791273063	1.7681036755729296E-4	0.0	3.8774203411687056E-7	7.505577946119423E-5	6.037697388391269E-6	7.034748333263221E-5	0.0	0.0	2.658802519658541E-6	9.196133214868979E-4	0.0	0.0	2.9014182495773824E-4	1.0524426640315057E-6	2.4483139868522396E-5	0.0	3.013309522279679E-5	4.985254724359764E-7	0.0	9.751158240847697E-4	0.002242810708770298	0.0	6.093089107550822E-7	2.1824337348863853E-5	0.0	0.0	4.5088859395876083E-5	0.0	5.900879842067174E-4	0.0	0.0	0.0	0.0	1.3294012598292704E-6	5.016274087089114E-4	5.637215258867701E-4
TRBJ1-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014425665420722369	4.1765356246302904E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.1776279493320952E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.591958008645551E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6161508959056845E-4	0.0	0.0	0.0	0.0	0.0	4.398102501268503E-5	0.0
TRBJ2-1	3.2980229587597815E-4	7.356020304388629E-5	3.474168625687159E-4	7.56650883719493E-5	7.368760399795325E-4	1.8279267322652466E-6	0.0	5.189650168058513E-4	0.0014903695957069311	5.052278704542823E-4	1.2845339673100324E-4	3.4586589443224853E-4	8.862675065528468E-7	1.661751574786588E-7	5.286031759396137E-4	3.3113169713580744E-4	1.3775920554980812E-4	0.002306455794084625	0.0010590896703306526	6.713476362137815E-5	5.379089847584184E-4	0.0015079841623996692	1.7808437709796251E-4	0.008454493487041715	5.089391156379722E-4	5.86542914180506E-4	4.866162528166725E-4	0.0012264834456308209	6.136294648495273E-4	0.0	1.7248981346284784E-4	8.67157363442801E-4	3.0077703503637242E-5	6.202764711486738E-4	5.805052167921147E-5	3.24983216309097E-4	0.0	0.001051445613086634	0.0036102660796621827	1.9387101705843525E-5	6.050437483797967E-4	5.130381028557793E-4	5.771817136425415E-4	0.0	2.6588025196585404E-6	0.0	6.686888336941226E-4	2.846580447609425E-4	0.0	7.372637820136495E-5	1.2895192220343922E-4	7.793614885749097E-5	5.939654045478862E-4	2.221207938298072E-4
TRBJ2-2	5.546372839446036E-4	3.130739966897931E-4	3.307993468208501E-4	2.2588743073265682E-4	7.43855396593636E-4	0.0	0.0	0.0	0.001153754118374328	1.3382639348947985E-4	0.0	8.99007601959544E-5	1.863931349718956E-4	0.0	2.880369396296752E-4	0.001051168654490836	0.0015443211301683357	0.0017170879022269812	0.002125768006186164	4.819079566881105E-6	6.53068368891129E-4	3.99208119982898E-4	1.22415699342612E-5	0.003454116823351403	0.0015968324799315921	6.618202605183384E-4	0.0	1.550968136467482E-6	5.9823056692317165E-6	3.157327992094517E-6	1.1078343831910585E-7	0.0019259146834584965	0.0	3.900684863215718E-4	7.377623074860855E-4	2.7922965628330627E-4	1.661751574786588E-7	5.370781089710252E-4	6.255940761879911E-4	0.0	0.0020120488067516006	0.0	0.0	0.0	0.0	0.0	0.0016800862338284	0.001272237005656612	2.0971304873806736E-4	2.5912246222838857E-4	2.175786728587239E-4	3.2847289461614886E-4	0.0021190102164486972	8.372458350966424E-4
TRBJ2-2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1078343831910585E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1078343831910585E-7	0.0	0.0	0.0	0.0	0.0	2.215668766382117E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-3	0.0010275717821288668	0.001028513441354579	0.0027841539801166095	6.647006299146352E-7	0.003447635992209734	0.0027028943281095447	1.906582973471812E-4	0.0	0.008161138942372725	6.08090292933572E-4	0.0	0.0	0.0013719421001438072	0.0	0.002210074202747002	0.005296057660564012	0.0052119730308798125	0.011588944699123341	0.0028649704983703967	0.0034775475205558923	0.0026218562429791187	6.289729710567236E-4	8.846057549780602E-5	0.008492159856070216	0.00745245728744541	0.002214173189964809	4.1532711025832786E-4	7.916030585091708E-4	0.001697977759116936	0.001250911193780184	4.403087755992862E-4	0.018306409265040655	0.0	0.00516500085303251	4.962544119504347E-4	0.013203502529185993	0.0014323744657468798	0.006151582762983307	0.004580008906988476	0.004402866189116223	0.0034278611484697737	0.0019219264796790083	2.463823668216914E-4	0.0	0.0	0.0	0.003866175822179316	0.0019364945018179702	5.413986630654704E-4	0.0015142434266646988	0.0	0.0037747240938468944	0.005055325249096595	0.004753218812800396
TRBJ2-4	4.518856449036328E-4	0.0	0.0	0.0	1.307244572165449E-4	7.433568711212004E-5	0.0	0.0	0.0014270568607075626	1.1078343831910585E-7	0.0	0.0	0.0	0.0	0.0	0.0	5.9435314658200296E-5	3.565011045108825E-4	2.8404873585018733E-4	0.0	2.6754200354064067E-5	6.126324139046553E-5	1.1632261023506115E-6	0.0014596271915733796	2.27106048554167E-6	9.43265585568027E-4	5.548034591020821E-4	3.0576228976073216E-5	8.204067524721385E-4	3.301346461909354E-5	1.4346455262324209E-5	0.0	0.0	0.0	2.1918503271435092E-4	5.5114760563755165E-5	0.0	0.001904921221897025	5.884816243510903E-4	0.0	4.898843642470859E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.96791933193162E-5	0.0	0.0	0.0	0.0	4.18539829969582E-4	4.369852724497131E-4
TRBJ2-5	5.893125001384835E-4	6.751696648357907E-4	9.412160919591235E-4	5.358040994303554E-4	0.002835502103777516	0.0014969058185677587	0.0	3.68853457883463E-4	0.0017912020224624633	3.0227261145368035E-4	2.2189922695316902E-4	1.6600898232118011E-4	7.556538327746211E-4	0.0	9.267034615393206E-4	0.0048050654619337324	0.001321646419146933	0.007429358940555878	0.0017016336125814662	2.7490910218886115E-4	8.35805650398494E-4	0.001182502420618136	8.419541312252047E-6	0.011862192049737407	0.0015355692385411266	0.0010225865274045068	1.0740454345037313E-4	0.0012681934101579648	0.0025338941929537503	7.696679377219881E-4	5.676543379470984E-4	0.003946770773556466	6.825367634840112E-4	1.7741967646804803E-4	8.754661213167337E-4	9.489155409223011E-4	2.586239367559526E-4	6.134632896920486E-4	0.0021061593376036822	0.0	0.0016731068772142966	9.93561266564901E-4	0.0	0.0	0.0	0.0	0.002193622862156616	0.0019371592024478856	5.768493633275842E-4	1.4955764173079291E-6	2.758507614145736E-4	9.245985762112577E-4	0.0019890058515812277	0.0010226419191236664
TRBJ2-6	0.0	0.0	0.0	2.215668766382117E-7	2.1309194360680012E-4	0.0	0.0	0.0	0.0013297890018633875	0.0	8.838856626289861E-4	3.5539327012769155E-4	2.3751969175616296E-4	0.0	6.458674454003871E-4	0.0017239010836836062	3.9898655310625973E-4	6.792686520535975E-4	1.6750455873848803E-4	1.0330555623256622E-4	0.0	0.0	6.536222860827247E-6	0.0015621572637377124	0.0	6.071486337078597E-4	0.0	5.534740578422529E-4	3.9472139073097416E-4	4.3260932663610833E-4	2.049493608903458E-6	4.4036416731844583E-4	0.0	5.393491694565668E-4	0.0	1.1078343831910585E-7	0.0	0.0016198200433828064	6.481938976050885E-4	8.721980098863204E-4	7.671199186406484E-4	3.8984691944493355E-4	0.0	0.0	0.0	0.0	2.0832825575907855E-4	9.958877187696022E-4	0.0	1.0729376001205401E-4	2.6421850039106743E-4	9.942813589139751E-5	5.937438376712478E-4	3.745034132377374E-4
TRBJ2-7	6.619864356758172E-4	4.250760528304092E-4	8.23674863902552E-4	3.5400847714870277E-4	0.003548061179046005	6.425993339699734E-4	2.2317323649383874E-4	0.0014596271915733794	0.06589332441157439	0.0024183470667869227	0.0010877825808553005	0.001724455000875202	0.0012187286049484835	0.0	0.005559112934852732	0.0027870897412320657	0.0016337787566110137	0.025757204800911235	0.003716895139044324	0.0	0.0010844590777057276	8.934684300435886E-5	2.2594282245181634E-4	0.0020584116756881465	3.9660470918239895E-4	0.008933521074333529	0.0	0.02486700448229809	0.010082843855175095	0.0	0.009891077723444728	0.0112289539163054	0.0	3.419330823719202E-4	9.422131429039953E-4	0.0030754590311766984	4.0967715490405345E-4	0.0036719724548059224	0.007081609727672199	8.971796752272789E-4	0.006336978847010332	0.005410884694381767	0.0	0.0	0.002228131903193017	9.416592257123997E-7	0.0060209690892050844	8.301003033250602E-4	1.1078343831910585E-7	9.176192195971538E-4	1.9580972722901962E-4	0.0013842944535163877	0.0033045591816206095	0.021905209258836787
